36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA; jacquelyn.witte@nasa.gov)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 12 December, 2017
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20080709
Launch Time (UT)                  : 09:04:00
Burst Pressure (hPa)              : 5.47
Integrated O3 to end of data (DU) : 243.93
Radiosonde                        : Vaisala RS80
Radiosonde Serial Number          : 258753355
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 2Z6380
KI Solution                       : 1% Full Buffer (10 g/L KI, 25 g/L KBr, 5.0 g/L Na2HPO4 12H2O, 1.25 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 28.880
Flowrate Correction (%)           : 1.76
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al, 1995
Transfer Function                 : Yes
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : Transfer function solution correction applied. https://doi.org/10.5194/amt-10-2021-2017
Comment : 
Time  Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec   hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  824.51    1.800   21.00   36.0    2.3236    0.0282    0.00 9000.00 9000.00   30.27    0.6800 9000.00000 9000.00000 9000.000
    10  822.12    1.825   18.70   39.0    2.4350    0.0296    0.05 9000.00 9000.00   30.37    0.7100 9000.00000 9000.00000 9000.000
    20  815.34    1.896   16.20   46.0    2.5457    0.0312    0.22 9000.00 9000.00   30.37    0.7400 9000.00000 9000.00000 9000.000
    30  807.90    1.974   15.10   48.0    2.6195    0.0324    0.40 9000.00 9000.00   30.37    0.7600 9000.00000 9000.00000 9000.000
    40  800.60    2.050   14.40   50.0    2.6942    0.0337    0.59 9000.00 9000.00   30.48    0.7800 9000.00000 9000.00000 9000.000
    50  792.64    2.135   13.60   52.0    2.6942    0.0340    0.81 9000.00 9000.00   30.48    0.7800 9000.00000 9000.00000 9000.000
    60  785.36    2.212   12.90   54.0    2.7312    0.0348    1.00 9000.00 9000.00   30.48    0.7900 9000.00000 9000.00000 9000.000
    70  778.29    2.288   12.00   56.0    2.7322    0.0351    1.20 9000.00 9000.00   30.59    0.7900 9000.00000 9000.00000 9000.000
    80  772.23    2.354   11.30   59.0    2.7322    0.0354    1.37 9000.00 9000.00   30.59    0.7900 9000.00000 9000.00000 9000.000
    90  766.21    2.419   10.70   62.0    2.6952    0.0352    1.54 9000.00 9000.00   30.59    0.7800 9000.00000 9000.00000 9000.000
   100  759.87    2.488    9.90   64.0    2.6953    0.0355    1.71 9000.00 9000.00   30.60    0.7800 9000.00000 9000.00000 9000.000
   110  753.76    2.555    9.20   66.0    2.6584    0.0353    1.88 9000.00 9000.00   30.60    0.7700 9000.00000 9000.00000 9000.000
   120  748.92    2.609    8.70   67.0    2.6215    0.0350    2.02 9000.00 9000.00   30.60    0.7600 9000.00000 9000.00000 9000.000
   130  744.53    2.657    9.00   64.0    2.6584    0.0357    2.14 9000.00 9000.00   30.60    0.7700 9000.00000 9000.00000 9000.000
   140  739.96    2.708   10.00   55.0    2.6953    0.0364    2.27 9000.00 9000.00   30.60    0.7800 9000.00000 9000.00000 9000.000
   150  735.58    2.758   10.20   54.0    2.7324    0.0371    2.40 9000.00 9000.00   30.61    0.7900 9000.00000 9000.00000 9000.000
   160  731.47    2.804   10.00   56.0    2.8440    0.0389    2.52 9000.00 9000.00   30.71    0.8200 9000.00000 9000.00000 9000.000
   170  726.45    2.862    9.60   58.0    2.8810    0.0397    2.68 9000.00 9000.00   30.71    0.8300 9000.00000 9000.00000 9000.000
   180  721.51    2.918    9.00   60.0    2.9179    0.0404    2.83 9000.00 9000.00   30.71    0.8400 9000.00000 9000.00000 9000.000
   190  717.18    2.968    8.60   64.0    2.9550    0.0412    2.97 9000.00 9000.00   30.72    0.8500 9000.00000 9000.00000 9000.000
   200  712.68    3.020    8.30   69.0    2.9918    0.0420    3.12 9000.00 9000.00   30.72    0.8600 9000.00000 9000.00000 9000.000
