36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA; jacquelyn.witte@nasa.gov)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 12 December, 2017
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20070102
Launch Time (UT)                  : 09:19:00
Burst Pressure (hPa)              : 51.92
Integrated O3 to end of data (DU) : 30.24
Radiosonde                        : Vaisala RS80
Radiosonde Serial Number          : 28350954
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 2Z6253
KI Solution                       : 1% Full Buffer (10 g/L KI, 25 g/L KBr, 5.0 g/L Na2HPO4 12H2O, 1.25 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 29.400
Flowrate Correction (%)           : 1.76
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al, 1995
Transfer Function                 : Yes
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : Transfer function solution correction applied. https://doi.org/10.5194/amt-10-2021-2017
Comment : 
Time  Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec   hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  822.32    1.800   22.30   54.0    2.0136    0.0245    0.00 9000.00 9000.00   33.87    0.5800 9000.00000 9000.00000 9000.000
    10  820.40    1.820   21.90   52.0    2.0522    0.0250    0.04 9000.00 9000.00   33.97    0.5900 9000.00000 9000.00000 9000.000
    20  814.89    1.879   20.30   54.0    2.1289    0.0261    0.15 9000.00 9000.00   34.07    0.6100 9000.00000 9000.00000 9000.000
    30  809.52    1.936   19.70   56.0    2.1669    0.0268    0.26 9000.00 9000.00   34.07    0.6200 9000.00000 9000.00000 9000.000
    40  805.69    1.977   19.30   58.0    2.2057    0.0274    0.34 9000.00 9000.00   34.18    0.6300 9000.00000 9000.00000 9000.000
    50  799.90    2.039   18.80   59.0    2.2057    0.0276    0.47 9000.00 9000.00   34.18    0.6300 9000.00000 9000.00000 9000.000
    60  794.78    2.094   18.20   60.0    2.2438    0.0282    0.58 9000.00 9000.00   34.18    0.6400 9000.00000 9000.00000 9000.000
    70  789.73    2.148   17.60   62.0    2.2445    0.0284    0.69 9000.00 9000.00   34.28    0.6400 9000.00000 9000.00000 9000.000
    80  784.28    2.208   17.10   63.0    2.2445    0.0286    0.82 9000.00 9000.00   34.28    0.6400 9000.00000 9000.00000 9000.000
    90  778.60    2.270   16.50   65.0    2.2453    0.0288    0.95 9000.00 9000.00   34.39    0.6400 9000.00000 9000.00000 9000.000
   100  774.74    2.312   16.10   65.0    2.2453    0.0290    1.03 9000.00 9000.00   34.39    0.6400 9000.00000 9000.00000 9000.000
   110  770.32    2.361   15.90   64.0    2.2453    0.0291    1.14 9000.00 9000.00   34.39    0.6400 9000.00000 9000.00000 9000.000
   120  765.76    2.411   15.40   66.0    2.2072    0.0288    1.24 9000.00 9000.00   34.39    0.6300 9000.00000 9000.00000 9000.000
   130  760.81    2.466   14.90   68.0    2.1699    0.0285    1.35 9000.00 9000.00   34.49    0.6200 9000.00000 9000.00000 9000.000
   140  757.05    2.508   14.50   69.0    2.1319    0.0282    1.44 9000.00 9000.00   34.50    0.6100 9000.00000 9000.00000 9000.000
   150  753.47    2.549   14.10   71.0    2.1319    0.0283    1.52 9000.00 9000.00   34.50    0.6100 9000.00000 9000.00000 9000.000
   160  750.07    2.587   13.80   71.0    2.1326    0.0284    1.59 9000.00 9000.00   34.60    0.6100 9000.00000 9000.00000 9000.000
   170  746.63    2.625   13.50   72.0    2.0945    0.0281    1.67 9000.00 9000.00   34.60    0.6000 9000.00000 9000.00000 9000.000
   180  742.68    2.670   13.10   75.0    2.0945    0.0282    1.76 9000.00 9000.00   34.60    0.6000 9000.00000 9000.00000 9000.000
   190  738.64    2.716   12.60   78.0    2.0565    0.0278    1.85 9000.00 9000.00   34.61    0.5900 9000.00000 9000.00000 9000.000
   200  734.69    2.761   12.10   82.0    2.0946    0.0285    1.93 9000.00 9000.00   34.61    0.6000 9000.00000 9000.00000 9000.000
   210  730.57    2.808   11.60   85.0    2.0953    0.0287    2.03 9000.00 9000.00   34.71    0.6000 9000.00000 9000.00000 9000.000
   220  727.17    2.848   11.20   86.0    2.0953    0.0288    2.10 9000.00 9000.00   34.71    0.6000 9000.00000 9000.00000 9000.000
   230  723.11    2.894   10.90   86.0    2.0953    0.0290    2.20 9000.00 9000.00   34.71    0.6000 9000.00000 9000.00000 9000.000
   240  717.88    2.955   10.40   87.0    2.0572    0.0287    2.32 9000.00 9000.00   34.72    0.5900 9000.00000 9000.00000 9000.000
   250  713.63    3.004   10.10   86.0    2.0572    0.0288    2.41 9000.00 9000.00   34.72    0.5900 9000.00000 9000.00000 9000.000
   260  708.61    3.063    9.60   88.0    2.0192    0.0285    2.53 9000.00 9000.00   34.72    0.5800 9000.00000 9000.00000 9000.000
   270  704.42    3.113    9.40   84.0    1.9811    0.0281    2.62 9000.00 9000.00   34.72    0.5700 9000.00000 9000.00000 9000.000
   280  700.75    3.156    9.40   77.0    1.9429    0.0277    2.70 9000.00 9000.00   34.72    0.5600 9000.00000 9000.00000 9000.000
   290  695.85    3.214    9.40   69.0    1.9436    0.0279    2.81 9000.00 9000.00   34.83    0.5600 9000.00000 9000.00000 9000.000
   300  690.81    3.275    9.80   54.0    1.8293    0.0265    2.92 9000.00 9000.00   34.83    0.5300 9000.00000 9000.00000 9000.000
   310  686.54    3.326    9.80   51.0    1.7531    0.0255    3.00 9000.00 9000.00   34.83    0.5100 9000.00000 9000.00000 9000.000
   320  682.15    3.380    9.30   51.0    1.7149    0.0251    3.09 9000.00 9000.00   34.83    0.5000 9000.00000 9000.00000 9000.000
