36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA; jacquelyn.witte@nasa.gov)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 12 December, 2017
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20060426
Launch Time (UT)                  : 08:53:00
Burst Pressure (hPa)              : 9.99
Integrated O3 to end of data (DU) : 208.83
Radiosonde                        : Vaisala RS80
Radiosonde Serial Number          : 508501613
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 2Z4686
KI Solution                       : 1% Full Buffer (10 g/L KI, 25 g/L KBr, 5.0 g/L Na2HPO4 12H2O, 1.25 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 29.070
Flowrate Correction (%)           : 1.76
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al, 1995
Transfer Function                 : Yes
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : Transfer function solution correction applied. https://doi.org/10.5194/amt-10-2021-2017
Comment : 
Time  Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec   hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  824.25    1.800   20.10   53.0    1.3488    0.0164    0.00 9000.00 9000.00   33.07    0.4100 9000.00000 9000.00000 9000.000
    10  824.14    1.801   20.20   55.0    1.3488    0.0164    0.00 9000.00 9000.00   33.07    0.4100 9000.00000 9000.00000 9000.000
    20  824.21    1.800   20.60   55.0    1.3117    0.0159    0.00 9000.00 9000.00   33.17    0.4000 9000.00000 9000.00000 9000.000
    30  824.14    1.801   20.50   54.0    1.3117    0.0159    0.00 9000.00 9000.00   33.17    0.4000 9000.00000 9000.00000 9000.000
    40  824.17    1.801   20.40   54.0    1.3497    0.0164    0.00 9000.00 9000.00   33.27    0.4100 9000.00000 9000.00000 9000.000
    50  821.64    1.827   18.90   55.0    1.3872    0.0169    0.03 9000.00 9000.00   33.27    0.4200 9000.00000 9000.00000 9000.000
    60  814.69    1.900   17.30   62.0    1.4251    0.0175    0.13 9000.00 9000.00   33.37    0.4300 9000.00000 9000.00000 9000.000
    70  808.46    1.966   16.80   64.0    1.4251    0.0176    0.21 9000.00 9000.00   33.37    0.4300 9000.00000 9000.00000 9000.000
    80  802.11    2.033   16.20   65.0    1.5002    0.0187    0.31 9000.00 9000.00   33.38    0.4500 9000.00000 9000.00000 9000.000
    90  794.74    2.112   15.40   68.0    1.5007    0.0189    0.42 9000.00 9000.00   33.48    0.4500 9000.00000 9000.00000 9000.000
   100  787.83    2.186   14.80   71.0    1.5007    0.0190    0.52 9000.00 9000.00   33.48    0.4500 9000.00000 9000.00000 9000.000
   110  780.59    2.264   14.00   74.0    1.5012    0.0192    0.63 9000.00 9000.00   33.59    0.4500 9000.00000 9000.00000 9000.000
   120  773.98    2.336   13.30   78.0    1.5012    0.0194    0.73 9000.00 9000.00   33.59    0.4500 9000.00000 9000.00000 9000.000
   130  767.86    2.402   12.60   81.0    1.4637    0.0191    0.82 9000.00 9000.00   33.59    0.4400 9000.00000 9000.00000 9000.000
   140  762.33    2.463   12.00   84.0    1.5012    0.0197    0.91 9000.00 9000.00   33.59    0.4500 9000.00000 9000.00000 9000.000
   150  755.68    2.537   11.50   82.0    1.4637    0.0194    1.01 9000.00 9000.00   33.60    0.4400 9000.00000 9000.00000 9000.000
   160  749.97    2.600   11.20   80.0    1.5018    0.0200    1.10 9000.00 9000.00   33.70    0.4500 9000.00000 9000.00000 9000.000
   170  744.74    2.659   10.60   82.0    1.5018    0.0202    1.18 9000.00 9000.00   33.70    0.4500 9000.00000 9000.00000 9000.000
   180  738.95    2.724   10.10   84.0    1.5394    0.0208    1.27 9000.00 9000.00   33.71    0.4600 9000.00000 9000.00000 9000.000
   190  733.16    2.789    9.50   86.0    1.5394    0.0210    1.37 9000.00 9000.00   33.71    0.4600 9000.00000 9000.00000 9000.000
   200  727.34    2.855    9.20   84.0    1.5394    0.0212    1.47 9000.00 9000.00   33.71    0.4600 9000.00000 9000.00000 9000.000
   210  721.72    2.920    8.80   82.0    1.5018    0.0208    1.56 9000.00 9000.00   33.71    0.4500 9000.00000 9000.00000 9000.000
   220  716.68    2.978    9.60   68.0    1.5775    0.0220    1.65 9000.00 9000.00   33.82    0.4700 9000.00000 9000.00000 9000.000
   230  711.08    3.043   10.20   60.0    1.5399    0.0217    1.74 9000.00 9000.00   33.82    0.4600 9000.00000 9000.00000 9000.000
   240  705.37    3.110   10.00   58.0    1.5775    0.0224    1.84 9000.00 9000.00   33.82    0.4700 9000.00000 9000.00000 9000.000
   250  700.04    3.174    9.50   57.0    1.6150    0.0231    1.94 9000.00 9000.00   33.82    0.4800 9000.00000 9000.00000 9000.000
   260  694.80    3.236    9.30   48.0    1.6902    0.0243    2.03 9000.00 9000.00   33.83    0.5000 9000.00000 9000.00000 9000.000
   270  689.63    3.298    9.10   43.0    1.7653    0.0256    2.14 9000.00 9000.00   33.83    0.5200 9000.00000 9000.00000 9000.000
   280  684.55    3.359    8.60   47.0    1.8404    0.0269    2.24 9000.00 9000.00   33.83    0.5400 9000.00000 9000.00000 9000.000
   290  679.20    3.424    8.00   49.0    1.8411    0.0271    2.36 9000.00 9000.00   33.93    0.5400 9000.00000 9000.00000 9000.000
   300  674.25    3.484    7.60   50.0    1.8411    0.0273    2.46 9000.00 9000.00   33.94    0.5400 9000.00000 9000.00000 9000.000
   310  669.18    3.546    7.20   58.0    1.8036    0.0270    2.57 9000.00 9000.00   33.94    0.5300 9000.00000 9000.00000 9000.000
   320  664.03    3.610    6.70   66.0    1.6908    0.0255    2.68 9000.00 9000.00   33.94    0.5000 9000.00000 9000.00000 9000.000
   330  659.18    3.670    6.30   67.0    1.6532    0.0251    2.77 9000.00 9000.00   33.94    0.4900 9000.00000 9000.00000 9000.000
   340  653.93    3.736    6.00   66.0    1.5406    0.0236    2.88 9000.00 9000.00   33.95    0.4600 9000.00000 9000.00000 9000.000
