36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA; jacquelyn.witte@nasa.gov)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 12 December, 2017
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20060412
Launch Time (UT)                  : 08:44:00
Burst Pressure (hPa)              : 8.63
Integrated O3 to end of data (DU) : 214.09
Radiosonde                        : Vaisala RS80
Radiosonde Serial Number          : 508501407
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 2Z4684
KI Solution                       : 1% Full Buffer (10 g/L KI, 25 g/L KBr, 5.0 g/L Na2HPO4 12H2O, 1.25 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 28.330
Flowrate Correction (%)           : 1.76
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al, 1995
Transfer Function                 : Yes
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : Transfer function solution correction applied. https://doi.org/10.5194/amt-10-2021-2017
Comment : 
Time  Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec   hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  821.91    1.800   20.10   56.0    1.9666    0.0239    0.00 9000.00 9000.00   32.27    0.5900 9000.00000 9000.00000 9000.000
    10  819.63    1.824   18.80   57.0    2.0765    0.0253    0.04 9000.00 9000.00   32.37    0.6200 9000.00000 9000.00000 9000.000
    20  814.00    1.883   17.20   64.0    2.1130    0.0260    0.16 9000.00 9000.00   32.37    0.6300 9000.00000 9000.00000 9000.000
    30  808.44    1.941   16.50   68.0    2.2222    0.0275    0.28 9000.00 9000.00   32.37    0.6600 9000.00000 9000.00000 9000.000
    40  802.59    2.003   16.00   69.0    2.2595    0.0282    0.40 9000.00 9000.00   32.48    0.6700 9000.00000 9000.00000 9000.000
    50  797.37    2.059   15.50   69.0    2.2959    0.0288    0.52 9000.00 9000.00   32.48    0.6800 9000.00000 9000.00000 9000.000
    60  792.79    2.108   15.20   68.0    2.3688    0.0299    0.63 9000.00 9000.00   32.48    0.7000 9000.00000 9000.00000 9000.000
    70  787.92    2.160   14.90   65.0    2.3688    0.0301    0.74 9000.00 9000.00   32.48    0.7000 9000.00000 9000.00000 9000.000
    80  783.16    2.211   14.40   67.0    2.4060    0.0307    0.86 9000.00 9000.00   32.58    0.7100 9000.00000 9000.00000 9000.000
    90  777.81    2.269   13.80   73.0    2.4790    0.0319    0.99 9000.00 9000.00   32.59    0.7300 9000.00000 9000.00000 9000.000
   100  772.72    2.325   12.90   82.0    2.4061    0.0311    1.12 9000.00 9000.00   32.59    0.7100 9000.00000 9000.00000 9000.000
   110  767.84    2.378   12.60   83.0    2.3697    0.0309    1.24 9000.00 9000.00   32.59    0.7000 9000.00000 9000.00000 9000.000
   120  762.95    2.432   12.00   83.0    2.2967    0.0301    1.35 9000.00 9000.00   32.59    0.6800 9000.00000 9000.00000 9000.000
