36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA; jacquelyn.witte@nasa.gov)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 12 December, 2017
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20100203
Launch Time (UT)                  : 08:33:00
Burst Pressure (hPa)              : 15.96
Integrated O3 to end of data (DU) : 146.11
Radiosonde                        : Vaisala RS80
Radiosonde Serial Number          : 292429452
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 2Z6339
KI Solution                       : 1% Full Buffer (10 g/L KI, 25 g/L KBr, 5.0 g/L Na2HPO4 12H2O, 1.25 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 27.150
Flowrate Correction (%)           : 1.76
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al, 1995
Transfer Function                 : Yes
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : Transfer function solution correction applied. https://doi.org/10.5194/amt-10-2021-2017
Comment : 
Time  Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec   hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  817.55    1.800   22.20   45.0    2.6994    0.0330    0.00 9000.00 9000.00   37.67    0.8100 9000.00000 9000.00000 9000.000
    10  811.93    1.860   20.60   51.0    2.8415    0.0350    0.15 9000.00 9000.00   37.67    0.8500 9000.00000 9000.00000 9000.000
    20  805.47    1.929   20.20   53.0    2.8771    0.0357    0.33 9000.00 9000.00   37.68    0.8600 9000.00000 9000.00000 9000.000
    30  799.86    1.989   19.60   54.0    2.8771    0.0360    0.49 9000.00 9000.00   37.68    0.8600 9000.00000 9000.00000 9000.000
    40  795.17    2.040   19.10   56.0    2.8762    0.0362    0.62 9000.00 9000.00   37.58    0.8600 9000.00000 9000.00000 9000.000
    50  790.96    2.085   18.60   57.0    2.8762    0.0364    0.74 9000.00 9000.00   37.58    0.8600 9000.00000 9000.00000 9000.000
    60  786.37    2.135   18.10   58.0    2.8762    0.0366    0.88 9000.00 9000.00   37.58    0.8600 9000.00000 9000.00000 9000.000
    70  781.82    2.185   17.60   60.0    2.8763    0.0368    1.01 9000.00 9000.00   37.59    0.8600 9000.00000 9000.00000 9000.000
    80  777.45    2.233   17.20   61.0    2.8763    0.0370    1.14 9000.00 9000.00   37.59    0.8600 9000.00000 9000.00000 9000.000
    90  773.20    2.280   16.70   63.0    2.8407    0.0367    1.26 9000.00 9000.00   37.59    0.8500 9000.00000 9000.00000 9000.000
   100  770.01    2.315   16.40   64.0    2.8763    0.0374    1.35 9000.00 9000.00   37.59    0.8600 9000.00000 9000.00000 9000.000
   110  765.88    2.361   16.50   57.0    2.8763    0.0376    1.47 9000.00 9000.00   37.59    0.8600 9000.00000 9000.00000 9000.000
   120  761.41    2.411   16.30   54.0    2.8763    0.0378    1.61 9000.00 9000.00   37.59    0.8600 9000.00000 9000.00000 9000.000
