36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA; jacquelyn.witte@nasa.gov)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 12 December, 2017
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20101222
Launch Time (UT)                  : 07:17:56
Burst Pressure (hPa)              : 6.79
Integrated O3 to end of data (DU) : 209.12
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : F1374761
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z18410
KI Solution                       : 0.5% Half Buffer (5 g/L KI, 12.5 g/L KBr, 2.5 g/L Na2HPO4 12H2O, 0.625 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 28.970
Flowrate Correction (%)           : 2.21
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.040
Applied pump efficiency factors   : Komhyr et al, 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time  Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec   hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  822.40    1.800   21.00   56.0    2.1999    0.0268    0.00   30.00    5.00   40.38    0.5900   36.75900   -1.30200 9000.000
     2  821.67    1.808   22.11   53.0    2.3596    0.0287    0.02   23.00    4.80   40.34    0.6300   36.75900   -1.30200 9000.000
     4  820.68    1.818   23.61   54.0    2.3592    0.0287    0.04   23.00    5.00   40.28    0.6300   36.75900   -1.30200 9000.000
     6  819.64    1.829   24.68   55.0    2.3187    0.0283    0.06   24.00    5.30   40.22    0.6200   36.75900   -1.30200 9000.000
     8  818.70    1.839   24.38   56.0    2.1984    0.0269    0.08   25.00    5.50   40.16    0.5900   36.75900   -1.30200 9000.000
    10  817.69    1.850   24.12 9000.0    2.1581    0.0264    0.10   26.00    5.60   40.11    0.5800   36.75900   -1.30300 9000.000
    12  816.50    1.863   23.99 9000.0    2.1579    0.0264    0.13   27.00    5.60   40.08    0.5800   36.75900   -1.30300 9000.000
    14  815.28    1.876   23.89 9000.0    2.1577    0.0265    0.15   29.00    5.50   40.06    0.5800   36.75900   -1.30300 9000.000
    16  814.09    1.889   23.92 9000.0    2.1577    0.0265    0.18   30.00    5.40   40.06    0.5800   36.75900   -1.30300 9000.000
    18  813.15    1.899   23.99 9000.0    2.1577    0.0265    0.20   33.00    5.20   40.06    0.5800   36.75900   -1.30300 9000.000
    20  812.30    1.908   24.11 9000.0    2.1578    0.0266    0.22   35.00    5.00   40.07    0.5800   36.75900   -1.30300 9000.000
    22  811.21    1.920   24.08 9000.0    2.1578    0.0266    0.24   38.00    4.80   40.07    0.5800   36.75900   -1.30300 9000.000
    24  809.86    1.935   23.90 9000.0    2.1978    0.0271    0.27   41.00    4.60   40.07    0.5900   36.75800   -1.30300 9000.000
    26  808.38    1.951   23.70 9000.0    2.2376    0.0277    0.30   45.00    4.40   40.05    0.6000   36.75800   -1.30300 9000.000
    28  806.65    1.969   23.47 9000.0    2.2374    0.0277    0.34   49.00    4.30   40.03    0.6000   36.75800   -1.30300 9000.000
    30  804.95    1.988   23.31 9000.0    2.2375    0.0278    0.37   52.00    4.20   40.04    0.6000   36.75800   -1.30300 9000.000
    32  803.45    2.004   23.25 9000.0    2.2775    0.0283    0.41   55.00    4.10   40.04    0.6100   36.75800   -1.30300 9000.000
    34  802.02    2.020   23.05 9000.0    2.2775    0.0284    0.44   58.00    4.20   40.04    0.6100   36.75800   -1.30300 9000.000
    36  800.48    2.036   22.80 9000.0    2.3174    0.0290    0.48   60.00    4.20   40.04    0.6200   36.75800   -1.30300 9000.000
    38  798.82    2.055   22.60 9000.0    2.3174    0.0290    0.51   60.00    4.30   40.04    0.6200   36.75800   -1.30300 9000.000
    40  797.24    2.072   22.39 9000.0    2.3174    0.0291    0.55   61.00    4.40   40.04    0.6200   36.75800   -1.30300 9000.000
    42  795.66    2.089   22.04 9000.0    2.3574    0.0296    0.59   61.00    4.50   40.04    0.6300   36.75800   -1.30300 9000.000
    44  794.02    2.107   21.67 9000.0    2.3573    0.0297    0.62   60.00    4.60   40.03    0.6300   36.75800   -1.30400 9000.000
