36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA; jacquelyn.witte@nasa.gov)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 12 December, 2017
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20120711
Launch Time (UT)                  : 09:23:37
Burst Pressure (hPa)              : 26.96
Integrated O3 to end of data (DU) : 109.38
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : G2534598
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z21101
KI Solution                       : 0.5% Half Buffer (5 g/L KI, 12.5 g/L KBr, 2.5 g/L Na2HPO4 12H2O, 0.625 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 29.300
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al, 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time  Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec   hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  824.90    1.800   14.80   87.0    2.6458    0.0321    0.00    0.00    0.00   30.60    0.7400   36.75900   -1.30200 9000.000
     2  824.40    1.805   14.60   71.0    2.6842    0.0326    0.01  189.00    1.60   30.60    0.7500   36.75900   -1.30200 9000.000
     4  823.53    1.814   14.33   74.0    2.7226    0.0331    0.04  177.00    1.90   30.61    0.7600   36.75900   -1.30200 9000.000
     6  822.47    1.825   14.21   76.0    2.7226    0.0331    0.06  189.00    2.00   30.61    0.7600   36.75900   -1.30200 9000.000
     8  821.59    1.834   14.15   77.0    2.7227    0.0331    0.09  191.00    2.20   30.62    0.7600   36.75900   -1.30200 9000.000
    10  820.86    1.842   14.11   77.0    2.7227    0.0332    0.11  194.00    2.40   30.62    0.7600   36.75900   -1.30200 9000.000
    12  820.01    1.850   14.04   78.0    2.7227    0.0332    0.13  196.00    2.50   30.62    0.7600   36.75900   -1.30100 9000.000
    14  819.22    1.859   13.96   79.0    2.7227    0.0332    0.15  198.00    2.70   30.62    0.7600   36.75900   -1.30100 9000.000
    16  818.42    1.867   13.85   79.0    2.7227    0.0333    0.17  199.00    2.80   30.62    0.7600   36.75900   -1.30100 9000.000
    18  817.57    1.875   13.75   80.0    2.7610    0.0338    0.19  201.00    2.90   30.62    0.7700   36.75900   -1.30100 9000.000
    20  816.70    1.885   13.69   80.0    2.7610    0.0338    0.21  201.00    3.00   30.62    0.7700   36.75900   -1.30100 9000.000
    22  815.82    1.894   13.62   80.0    2.7610    0.0338    0.24  201.00    3.10   30.62    0.7700   36.75900   -1.30100 9000.000
    24  814.98    1.902   13.54   81.0    2.7611    0.0339    0.26  201.00    3.20   30.63    0.7700   36.75900   -1.30100 9000.000
    26  814.03    1.912   13.41   81.0    2.7995    0.0344    0.29  199.00    3.20   30.63    0.7800   36.75900   -1.30100 9000.000
    28  813.22    1.921   13.33   81.0    2.7995    0.0344    0.31  198.00    3.20   30.63    0.7800   36.75900   -1.30100 9000.000
    30  812.49    1.928   13.28   82.0    2.7996    0.0345    0.33  196.00    3.30   30.64    0.7800   36.75900   -1.30100 9000.000
    32  811.51    1.938   13.16   82.0    2.8378    0.0350    0.36  194.00    3.30   30.63    0.7900   36.75900   -1.30100 9000.000
    34  810.56    1.948   13.05   83.0    2.8378    0.0350    0.38  192.00    3.40   30.63    0.7900   36.75900   -1.30100 9000.000
    36  809.73    1.957   12.99   83.0    2.8378    0.0350    0.40  191.00    3.40   30.63    0.7900   36.75900   -1.30100 9000.000
    38  808.90    1.965   12.92   83.0    2.8378    0.0351    0.43  190.00    3.50   30.63    0.7900   36.75900   -1.30100 9000.000
    40  808.04    1.974   12.85   83.0    2.8378    0.0351    0.45  189.00    3.50   30.63    0.7900   36.75900   -1.30100 9000.000
    42  807.09    1.984   12.77   83.0    2.8762    0.0356    0.48  189.00    3.60   30.63    0.8000   36.75900   -1.30100 9000.000
    44  806.27    1.993   12.71   83.0    2.8762    0.0357    0.50  190.00    3.60   30.63    0.8000   36.75900   -1.30100 9000.000
    46  805.40    2.002   12.65   83.0    2.8763    0.0357    0.53  192.00    3.70   30.64    0.8000   36.75900   -1.30100 9000.000
    48  804.36    2.013   12.55   83.0    2.8763    0.0358    0.55  194.00    3.80   30.64    0.8000   36.75900   -1.30100 9000.000
    50  803.43    2.023   12.48   83.0    2.8763    0.0358    0.58  196.00    3.90   30.64    0.8000   36.75900   -1.30100 9000.000
    52  802.69    2.030   12.46   83.0    2.8764    0.0358    0.60  198.00    4.00   30.65    0.8000   36.75900   -1.30000 9000.000
    54  801.81    2.039   12.38   83.0    2.8765    0.0359    0.63  201.00    4.10   30.66    0.8000   36.75900   -1.30000 9000.000
    56  800.71    2.051   12.26   84.0    2.9148    0.0364    0.66  203.00    4.20   30.66    0.8100   36.75900   -1.30000 9000.000
    58  799.59    2.063   12.17   85.0    2.9149    0.0365    0.69  205.00    4.30   30.67    0.8100   36.75900   -1.30000 9000.000
    60  798.54    2.074   12.05   85.0    2.9149    0.0365    0.72  207.00    4.50   30.67    0.8100   36.76000   -1.30000 9000.000
    62  797.44    2.085   11.91   86.0    2.9150    0.0366    0.75  208.00    4.50   30.68    0.8100   36.76000   -1.30000 9000.000
    64  796.30    2.097   11.75   87.0    2.9150    0.0366    0.79  209.00    4.60   30.68    0.8100   36.76000   -1.30000 9000.000
