36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA; jacquelyn.witte@nasa.gov)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 12 December, 2017
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 19990901
Launch Time (UT)                  : 07:48:00
Burst Pressure (hPa)              : 9.25
Integrated O3 to end of data (DU) : 209.74
Radiosonde                        : Vaisala RS80
Radiosonde Serial Number          : 827351801
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 2Z0886
KI Solution                       : 1% Full Buffer (10 g/L KI, 25 g/L KBr, 5.0 g/L Na2HPO4 12H2O, 1.25 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 28.600
Flowrate Correction (%)           : 1.76
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al, 1995
Transfer Function                 : Yes
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : Transfer function solution correction applied. https://doi.org/10.5194/amt-10-2021-2017
Comment : 
Time  Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec   hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  825.47    1.800   17.30   75.0    0.9459    0.0115    0.00 9000.00 9000.00   29.07    0.3100 9000.00000 9000.00000 9000.000
    10  825.46    1.800   17.20   77.0    0.9459    0.0115    0.00 9000.00 9000.00   29.07    0.3100 9000.00000 9000.00000 9000.000
    20  825.45    1.800   17.20   76.0    0.9826    0.0119    0.00 9000.00 9000.00   29.17    0.3200 9000.00000 9000.00000 9000.000
    30  824.38    1.811   17.00   76.0    0.9826    0.0119    0.01 9000.00 9000.00   29.17    0.3200 9000.00000 9000.00000 9000.000
    40  820.02    1.857   16.20   81.0    1.0557    0.0129    0.05 9000.00 9000.00   29.27    0.3400 9000.00000 9000.00000 9000.000
    50  815.63    1.902   15.60   82.0    1.0921    0.0134    0.10 9000.00 9000.00   29.27    0.3500 9000.00000 9000.00000 9000.000
    60  811.76    1.943   15.10   83.0    1.2013    0.0148    0.14 9000.00 9000.00   29.27    0.3800 9000.00000 9000.00000 9000.000
    70  807.71    1.985   14.70   84.0    1.2746    0.0158    0.19 9000.00 9000.00   29.37    0.4000 9000.00000 9000.00000 9000.000
    80  803.60    2.028   14.30   83.0    1.4203    0.0177    0.24 9000.00 9000.00   29.38    0.4400 9000.00000 9000.00000 9000.000
    90  799.30    2.074   14.10   81.0    1.6023    0.0200    0.31 9000.00 9000.00   29.38    0.4900 9000.00000 9000.00000 9000.000
   100  795.02    2.119   13.90   81.0    1.7481    0.0220    0.38 9000.00 9000.00   29.38    0.5300 9000.00000 9000.00000 9000.000
   110  790.39    2.169   13.60   81.0    1.8944    0.0240    0.46 9000.00 9000.00   29.48    0.5700 9000.00000 9000.00000 9000.000
   120  785.58    2.220   13.20   81.0    2.0036    0.0255    0.56 9000.00 9000.00   29.48    0.6000 9000.00000 9000.00000 9000.000
   130  780.42    2.276   12.90   83.0    2.0401    0.0261    0.66 9000.00 9000.00   29.49    0.6100 9000.00000 9000.00000 9000.000
   140  775.76    2.326   12.60   84.0    2.0766    0.0268    0.76 9000.00 9000.00   29.49    0.6200 9000.00000 9000.00000 9000.000
   150  770.96    2.378   12.30   85.0    2.1136    0.0274    0.86 9000.00 9000.00   29.59    0.6300 9000.00000 9000.00000 9000.000
   160  766.06    2.432   12.00   87.0    2.1136    0.0276    0.97 9000.00 9000.00   29.59    0.6300 9000.00000 9000.00000 9000.000
   170  761.13    2.486   11.70   88.0    2.0772    0.0273    1.08 9000.00 9000.00   29.59    0.6200 9000.00000 9000.00000 9000.000
   180  757.09    2.531   11.50   85.0    2.1137    0.0279    1.16 9000.00 9000.00   29.60    0.6300 9000.00000 9000.00000 9000.000
   190  752.46    2.582   11.30   85.0    2.1509    0.0286    1.27 9000.00 9000.00   29.70    0.6400 9000.00000 9000.00000 9000.000
   200  747.65    2.636   11.00   86.0    2.1874    0.0293    1.38 9000.00 9000.00   29.70    0.6500 9000.00000 9000.00000 9000.000
   210  743.12    2.687   10.70   87.0    2.2238    0.0299    1.48 9000.00 9000.00   29.70    0.6600 9000.00000 9000.00000 9000.000
   220  738.14    2.743   10.30   89.0    2.2238    0.0301    1.60 9000.00 9000.00   29.71    0.6600 9000.00000 9000.00000 9000.000
   230  732.85    2.803   10.00   90.0    2.2238    0.0303    1.73 9000.00 9000.00   29.71    0.6600 9000.00000 9000.00000 9000.000
   240  727.76    2.861    9.70   90.0    2.2611    0.0311    1.85 9000.00 9000.00   29.81    0.6700 9000.00000 9000.00000 9000.000
   250  722.69    2.919    9.50   90.0    2.2611    0.0313    1.98 9000.00 9000.00   29.81    0.6700 9000.00000 9000.00000 9000.000
   260  717.18    2.983    9.40   89.0    2.2612    0.0315    2.11 9000.00 9000.00   29.82    0.6700 9000.00000 9000.00000 9000.000
   270  713.05    3.030    9.50   80.0    2.2977    0.0322    2.22 9000.00 9000.00   29.82    0.6800 9000.00000 9000.00000 9000.000
   280  709.42    3.073    9.80   74.0    2.3705    0.0334    2.31 9000.00 9000.00   29.82    0.7000 9000.00000 9000.00000 9000.000
   290  705.06    3.124    9.80   72.0    2.4070    0.0341    2.43 9000.00 9000.00   29.82    0.7100 9000.00000 9000.00000 9000.000
   300  701.25    3.169    9.70   72.0    2.4070    0.0343    2.53 9000.00 9000.00   29.82    0.7100 9000.00000 9000.00000 9000.000
   310  696.89    3.221    9.50   72.0    2.4071    0.0345    2.65 9000.00 9000.00   29.83    0.7100 9000.00000 9000.00000 9000.000
   320  692.35    3.276    9.40   72.0    2.4079    0.0348    2.77 9000.00 9000.00   29.93    0.7100 9000.00000 9000.00000 9000.000
   330  688.42    3.323    9.30   70.0    2.4444    0.0355    2.88 9000.00 9000.00   29.93    0.7200 9000.00000 9000.00000 9000.000
   340  684.38    3.372    9.10   70.0    2.4079    0.0352    2.99 9000.00 9000.00   29.93    0.7100 9000.00000 9000.00000 9000.000
   350  680.09    3.424    8.90   70.0    2.3714    0.0349    3.11 9000.00 9000.00   29.93    0.7000 9000.00000 9000.00000 9000.000
   360  675.77    3.477    8.50   71.0    2.3350    0.0346    3.23 9000.00 9000.00   29.94    0.6900 9000.00000 9000.00000 9000.000
   370  671.06    3.535    8.20   73.0    2.3350    0.0348    3.36 9000.00 9000.00   29.94    0.6900 9000.00000 9000.00000 9000.000
   380  666.23    3.594    7.80   74.0    2.2985    0.0345    3.49 9000.00 9000.00   29.94    0.6800 9000.00000 9000.00000 9000.000
   390  662.15    3.645    7.50   75.0    2.2620    0.0342    3.60 9000.00 9000.00   29.94    0.6700 9000.00000 9000.00000 9000.000
   400  657.82    3.699    7.20   75.0    2.2257    0.0338    3.72 9000.00 9000.00   29.95    0.6600 9000.00000 9000.00000 9000.000
   410  653.82    3.749    6.80   76.0    2.1899    0.0335    3.83 9000.00 9000.00   30.05    0.6500 9000.00000 9000.00000 9000.000
   420  649.41    3.805    6.50   77.0    2.1899    0.0337    3.94 9000.00 9000.00   30.05    0.6500 9000.00000 9000.00000 9000.000
   430  645.33    3.857    6.10   77.0    2.1534    0.0334    4.05 9000.00 9000.00   30.05    0.6400 9000.00000 9000.00000 9000.000
   440  641.39    3.907    5.80   78.0    2.1534    0.0336    4.15 9000.00 9000.00   30.05    0.6400 9000.00000 9000.00000 9000.000
   450  637.38    3.958    5.40   81.0    2.1535    0.0338    4.26 9000.00 9000.00   30.06    0.6400 9000.00000 9000.00000 9000.000
   460  633.11    4.013    5.00   82.0    2.1900    0.0346    4.38 9000.00 9000.00   30.06    0.6500 9000.00000 9000.00000 9000.000
   470  628.47    4.074    4.60   83.0    2.1541    0.0343    4.50 9000.00 9000.00   30.16    0.6400 9000.00000 9000.00000 9000.000
   480  624.18    4.129    4.30   80.0    2.1541    0.0345    4.62 9000.00 9000.00   30.16    0.6400 9000.00000 9000.00000 9000.000
   490  620.19    4.182    4.10   77.0    2.1178    0.0341    4.73 9000.00 9000.00   30.17    0.6300 9000.00000 9000.00000 9000.000
   500  615.72    4.241    3.90   77.0    2.0812    0.0338    4.85 9000.00 9000.00   30.17    0.6200 9000.00000 9000.00000 9000.000
   510  611.26    4.300    3.60   79.0    2.0082    0.0329    4.96 9000.00 9000.00   30.17    0.6000 9000.00000 9000.00000 9000.000
   520  607.00    4.357    3.30   78.0    1.9716    0.0325    5.07 9000.00 9000.00   30.17    0.5900 9000.00000 9000.00000 9000.000
   530  602.97    4.411    3.20   76.0    1.9717    0.0327    5.18 9000.00 9000.00   30.18    0.5900 9000.00000 9000.00000 9000.000
   540  598.90    4.466    2.90   76.0    1.9717    0.0329    5.28 9000.00 9000.00   30.18    0.5900 9000.00000 9000.00000 9000.000
   550  595.34    4.514    2.70   74.0    1.9353    0.0325    5.38 9000.00 9000.00   30.18    0.5800 9000.00000 9000.00000 9000.000
   560  591.54    4.566    2.50   72.0    1.9358    0.0327    5.47 9000.00 9000.00   30.28    0.5800 9000.00000 9000.00000 9000.000
   570  587.07    4.627    2.30   71.0    1.8994    0.0324    5.59 9000.00 9000.00   30.29    0.5700 9000.00000 9000.00000 9000.000
   580  582.46    4.691    2.00   71.0    1.8994    0.0326    5.71 9000.00 9000.00   30.29    0.5700 9000.00000 9000.00000 9000.000
   590  578.52    4.746    1.80   71.0    1.8994    0.0328    5.81 9000.00 9000.00   30.29    0.5700 9000.00000 9000.00000 9000.000
   600  574.74    4.799    1.40   71.0    1.8629    0.0324    5.91 9000.00 9000.00   30.29    0.5600 9000.00000 9000.00000 9000.000
   610  570.80    4.854    1.00   72.0    1.8629    0.0326    6.01 9000.00 9000.00   30.29    0.5600 9000.00000 9000.00000 9000.000
   620  566.62    4.913    0.60   75.0    1.8630    0.0329    6.12 9000.00 9000.00   30.30    0.5600 9000.00000 9000.00000 9000.000
   630  562.73    4.969    0.10   76.0    1.8630    0.0331    6.22 9000.00 9000.00   30.30    0.5600 9000.00000 9000.00000 9000.000
   640  558.53    5.029   -0.30   74.0    1.8264    0.0327    6.33 9000.00 9000.00   30.30    0.5500 9000.00000 9000.00000 9000.000
   650  554.18    5.091   -0.50   66.0    1.8265    0.0330    6.44 9000.00 9000.00   30.31    0.5500 9000.00000 9000.00000 9000.000
   660  550.54    5.144   -0.40   53.0    1.8630    0.0338    6.53 9000.00 9000.00   30.31    0.5600 9000.00000 9000.00000 9000.000
   670  546.41    5.204   -0.20   48.0    1.8996    0.0348    6.65 9000.00 9000.00   30.31    0.5700 9000.00000 9000.00000 9000.000
   680  542.33    5.264   -0.20   45.0    1.8630    0.0344    6.76 9000.00 9000.00   30.31    0.5600 9000.00000 9000.00000 9000.000
   690  537.84    5.331   -0.50   45.0    1.8631    0.0346    6.88 9000.00 9000.00   30.32    0.5600 9000.00000 9000.00000 9000.000
   700  534.14    5.386   -0.70   44.0    1.8631    0.0349    6.98 9000.00 9000.00   30.32    0.5600 9000.00000 9000.00000 9000.000
   710  530.16    5.445   -1.00   43.0    1.8631    0.0351    7.09 9000.00 9000.00   30.32    0.5600 9000.00000 9000.00000 9000.000
   720  526.23    5.505   -1.40   43.0    1.8631    0.0354    7.20 9000.00 9000.00   30.32    0.5600 9000.00000 9000.00000 9000.000
   730  521.86    5.571   -1.80   44.0    1.8631    0.0357    7.32 9000.00 9000.00   30.33    0.5600 9000.00000 9000.00000 9000.000
   740  517.07    5.645   -2.20   44.0    1.8996    0.0367    7.46 9000.00 9000.00   30.33    0.5700 9000.00000 9000.00000 9000.000
   750  513.13    5.705   -2.50   48.0    1.8996    0.0370    7.58 9000.00 9000.00   30.33    0.5700 9000.00000 9000.00000 9000.000
   760  508.62    5.775   -2.90   49.0    1.8631    0.0366    7.71 9000.00 9000.00   30.33    0.5600 9000.00000 9000.00000 9000.000
   770  504.48    5.840   -3.30   45.0    1.8632    0.0369    7.83 9000.00 9000.00   30.34    0.5600 9000.00000 9000.00000 9000.000
   780  500.68    5.900   -3.60   40.0    1.8632    0.0372    7.94 9000.00 9000.00   30.34    0.5600 9000.00000 9000.00000 9000.000
   790  496.69    5.963   -3.90   35.0    1.8997    0.0382    8.06 9000.00 9000.00   30.34    0.5700 9000.00000 9000.00000 9000.000
   800  492.74    6.026   -4.20   30.0    1.9363    0.0393    8.18 9000.00 9000.00   30.35    0.5800 9000.00000 9000.00000 9000.000
   810  488.44    6.095   -4.50   27.0    1.9728    0.0404    8.31 9000.00 9000.00   30.35    0.5900 9000.00000 9000.00000 9000.000
   820  484.47    6.159   -4.60   30.0    2.0460    0.0422    8.44 9000.00 9000.00   30.35    0.6100 9000.00000 9000.00000 9000.000
   830  480.33    6.227   -5.00   31.0    2.1555    0.0449    8.59 9000.00 9000.00   30.35    0.6400 9000.00000 9000.00000 9000.000
   840  476.53    6.289   -5.40   31.0    2.2652    0.0475    8.72 9000.00 9000.00   30.36    0.6700 9000.00000 9000.00000 9000.000
   850  473.37    6.341   -5.70   30.0    2.3383    0.0494    8.84 9000.00 9000.00   30.36    0.6900 9000.00000 9000.00000 9000.000
   860  469.73    6.402   -6.10   29.0    2.4113    0.0513    8.99 9000.00 9000.00   30.36    0.7100 9000.00000 9000.00000 9000.000
   870  466.11    6.462   -6.50   28.0    2.4114    0.0517    9.14 9000.00 9000.00   30.37    0.7100 9000.00000 9000.00000 9000.000
   880  462.19    6.528   -6.70   29.0    2.4114    0.0522    9.30 9000.00 9000.00   30.37    0.7100 9000.00000 9000.00000 9000.000
   890  458.60    6.589   -7.20   25.0    2.4114    0.0526    9.45 9000.00 9000.00   30.37    0.7100 9000.00000 9000.00000 9000.000
   900  455.43    6.643   -7.60   24.0    2.4479    0.0537    9.58 9000.00 9000.00   30.37    0.7200 9000.00000 9000.00000 9000.000
   910  451.58    6.709   -8.20   25.0    2.4480    0.0542    9.74 9000.00 9000.00   30.38    0.7200 9000.00000 9000.00000 9000.000
   920  448.22    6.767   -8.50   25.0    2.4846    0.0554    9.89 9000.00 9000.00   30.38    0.7300 9000.00000 9000.00000 9000.000
   930  445.00    6.823   -9.10   25.0    2.5212    0.0567   10.03 9000.00 9000.00   30.38    0.7400 9000.00000 9000.00000 9000.000
   940  441.43    6.885   -9.30   26.0    2.5212    0.0571   10.19 9000.00 9000.00   30.38    0.7400 9000.00000 9000.00000 9000.000
   950  437.71    6.950   -9.90   27.0    2.5212    0.0576   10.36 9000.00 9000.00   30.39    0.7400 9000.00000 9000.00000 9000.000
   960  434.19    7.012  -10.70   26.0    2.5212    0.0581   10.52 9000.00 9000.00   30.39    0.7400 9000.00000 9000.00000 9000.000
   970  430.73    7.074  -11.60   19.0    2.4124    0.0560   10.68 9000.00 9000.00   30.49    0.7100 9000.00000 9000.00000 9000.000
   980  427.50    7.131  -11.90   12.0    2.2297    0.0522   10.81 9000.00 9000.00   30.50    0.6600 9000.00000 9000.00000 9000.000
   990  424.21    7.190  -11.60    5.0    2.1201    0.0500   10.95 9000.00 9000.00   30.50    0.6300 9000.00000 9000.00000 9000.000
