36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA; jacquelyn.witte@nasa.gov)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 12 December, 2017
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 19990707
Launch Time (UT)                  : 05:05:00
Burst Pressure (hPa)              : 5.92
Integrated O3 to end of data (DU) : 244.12
Radiosonde                        : Vaisala RS80
Radiosonde Serial Number          : 827251304
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 2Z0911
KI Solution                       : 1% Full Buffer (10 g/L KI, 25 g/L KBr, 5.0 g/L Na2HPO4 12H2O, 1.25 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 28.300
Flowrate Correction (%)           : 1.76
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al, 1995
Transfer Function                 : Yes
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : Transfer function solution correction applied. https://doi.org/10.5194/amt-10-2021-2017
Comment : 
Time  Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec   hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  825.17    1.800   15.40   60.0    1.9792    0.0240    0.00 9000.00 9000.00   28.97    0.6000 9000.00000 9000.00000 9000.000
    10  820.67    1.846   14.80   66.0    1.9439    0.0237    0.08 9000.00 9000.00   29.07    0.5900 9000.00000 9000.00000 9000.000
    20  816.63    1.888   14.30   68.0    1.9799    0.0242    0.16 9000.00 9000.00   29.07    0.6000 9000.00000 9000.00000 9000.000
    30  812.25    1.934   13.80   69.0    1.9806    0.0244    0.25 9000.00 9000.00   29.17    0.6000 9000.00000 9000.00000 9000.000
    40  807.52    1.983   13.20   72.0    1.9806    0.0245    0.34 9000.00 9000.00   29.17    0.6000 9000.00000 9000.00000 9000.000
    50  801.95    2.041   12.60   75.0    1.9447    0.0242    0.44 9000.00 9000.00   29.18    0.5900 9000.00000 9000.00000 9000.000
    60  796.80    2.095   12.10   77.0    1.9812    0.0249    0.54 9000.00 9000.00   29.28    0.6000 9000.00000 9000.00000 9000.000
    70  791.40    2.152   11.70   79.0    1.9452    0.0246    0.65 9000.00 9000.00   29.28    0.5900 9000.00000 9000.00000 9000.000
    80  786.95    2.200   11.30   80.0    1.9452    0.0247    0.74 9000.00 9000.00   29.28    0.5900 9000.00000 9000.00000 9000.000
    90  782.03    2.252   10.80   82.0    1.9460    0.0249    0.83 9000.00 9000.00   29.39    0.5900 9000.00000 9000.00000 9000.000
   100  776.15    2.315   10.20   84.0    1.9099    0.0246    0.95 9000.00 9000.00   29.39    0.5800 9000.00000 9000.00000 9000.000
   110  771.00    2.370   10.00   80.0    1.9099    0.0248    1.05 9000.00 9000.00   29.39    0.5800 9000.00000 9000.00000 9000.000
   120  766.49    2.419    9.60   82.0    1.9106    0.0249    1.14 9000.00 9000.00   29.49    0.5800 9000.00000 9000.00000 9000.000
