36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 21 November, 2018
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20170111
Launch Time (UT)                  : 11:53:39
Burst Pressure (hPa)              : 29.52
Integrated O3 to end of data (DU) : 61.32
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : K4253806
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z28442
KI Solution                       : 0.5% Half Buffer
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 31.100
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : No
Applied background current (uA)   : 0.040
Applied pump efficiency factors   : Komhyr et al., 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time   Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec    hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  822.70    1.800   20.80   41.0 9000.0000 9000.0000    0.00   90.00    3.00 9000.00    0.5900   36.75930   -1.30180 9000.000
     2  819.68    1.832   20.88   32.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6000 9000.00000 9000.00000 9000.000
     4  817.85    1.851   20.94   32.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6000 9000.00000 9000.00000 9000.000
     6  816.22    1.868   20.98   34.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6000 9000.00000 9000.00000 9000.000
     8  814.44    1.887   21.03   35.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6000 9000.00000 9000.00000 9000.000
    10  812.61    1.907   21.08   36.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6000 9000.00000 9000.00000 9000.000
    12  811.04    1.923   21.13   37.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6000 9000.00000 9000.00000 9000.000
    14  810.00    1.934   21.12   38.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6000 9000.00000 9000.00000 9000.000
    16  809.06    1.944   20.84   39.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6100 9000.00000 9000.00000 9000.000
    18  807.98    1.956   20.58   40.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6200 9000.00000 9000.00000 9000.000
    20  806.91    1.967   20.52   40.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6300 9000.00000 9000.00000 9000.000
    22  805.79    1.980   20.45   40.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6300 9000.00000 9000.00000 9000.000
    24  804.75    1.991   20.32   41.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6300 9000.00000 9000.00000 9000.000
    26  803.55    2.003   20.12   42.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6300 9000.00000 9000.00000 9000.000
    28  802.30    2.017   20.02   42.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6400 9000.00000 9000.00000 9000.000
    30  801.22    2.029   19.94   42.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6400 9000.00000 9000.00000 9000.000
    32  800.28    2.039   19.92   42.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6400 9000.00000 9000.00000 9000.000
    34  799.37    2.049   19.89   43.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6400 9000.00000 9000.00000 9000.000
    36  798.32    2.060   19.77   43.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6400 9000.00000 9000.00000 9000.000
    38  797.24    2.072   19.62   43.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6400 9000.00000 9000.00000 9000.000
    40  796.13    2.083   19.47   43.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6400 9000.00000 9000.00000 9000.000
    42  795.08    2.095   19.40   44.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6400 9000.00000 9000.00000 9000.000
    44  793.94    2.107   19.32   44.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6400 9000.00000 9000.00000 9000.000
    46  792.76    2.120   19.17   44.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6400 9000.00000 9000.00000 9000.000
    48  791.73    2.131   19.03   44.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6400 9000.00000 9000.00000 9000.000
    50  790.93    2.140   18.95   44.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6400 9000.00000 9000.00000 9000.000
    52  790.18    2.148   18.92   45.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6400 9000.00000 9000.00000 9000.000
    54  789.21    2.158   18.80   45.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6400 9000.00000 9000.00000 9000.000
    56  788.20    2.170   18.68   45.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6400 9000.00000 9000.00000 9000.000
    58  787.25    2.180   18.68   45.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6400 9000.00000 9000.00000 9000.000
    60  786.27    2.191   18.56   46.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6400 9000.00000 9000.00000 9000.000
    62  785.35    2.201   18.35   46.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6400 9000.00000 9000.00000 9000.000
    64  784.61    2.209   18.25   46.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6300 9000.00000 9000.00000 9000.000
    66  783.91    2.216   18.20   46.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6300 9000.00000 9000.00000 9000.000
    68  783.03    2.226   18.04   47.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6300 9000.00000 9000.00000 9000.000
    70  782.11    2.236   17.94   48.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6300 9000.00000 9000.00000 9000.000
    72  781.19    2.246   17.94   48.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6400 9000.00000 9000.00000 9000.000
    74  780.21    2.257   17.83   48.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6400 9000.00000 9000.00000 9000.000
    76  779.23    2.268   17.71   48.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6300 9000.00000 9000.00000 9000.000
    78  778.38    2.277   17.68   48.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6400 9000.00000 9000.00000 9000.000
    80  777.48    2.287   17.59   48.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6400 9000.00000 9000.00000 9000.000
    82  776.43    2.298   17.47   48.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6400 9000.00000 9000.00000 9000.000
    84  775.42    2.309   17.34   48.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6400 9000.00000 9000.00000 9000.000
    86  774.51    2.319   17.17   48.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6400 9000.00000 9000.00000 9000.000
    88  773.49    2.331   17.07   49.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6400 9000.00000 9000.00000 9000.000
    90  772.45    2.342   17.01   49.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6300 9000.00000 9000.00000 9000.000
    92  771.52    2.352   16.95   49.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6300 9000.00000 9000.00000 9000.000
    94  770.60    2.363   16.83   49.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6300 9000.00000 9000.00000 9000.000
    96  769.59    2.374   16.65   49.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6300 9000.00000 9000.00000 9000.000
    98  768.55    2.385   16.50   50.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6300 9000.00000 9000.00000 9000.000
   100  767.61    2.396   16.43   50.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6300 9000.00000 9000.00000 9000.000
   102  766.68    2.406   16.35   51.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6300 9000.00000 9000.00000 9000.000
   104  765.66    2.417   16.31   51.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6300 9000.00000 9000.00000 9000.000
   106  764.64    2.429   16.28   51.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6300 9000.00000 9000.00000 9000.000
   108  763.59    2.441   16.14   51.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6300 9000.00000 9000.00000 9000.000
   110  762.41    2.454   15.95   51.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6300 9000.00000 9000.00000 9000.000
   112  761.03    2.469   15.76   52.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6300 9000.00000 9000.00000 9000.000
   114  759.59    2.485   15.62   52.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6300 9000.00000 9000.00000 9000.000
   116  758.40    2.498   15.52   52.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6200 9000.00000 9000.00000 9000.000
   118  757.44    2.509   15.46   52.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6300 9000.00000 9000.00000 9000.000
   120  756.45    2.520   15.35   52.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6300 9000.00000 9000.00000 9000.000
   122  755.33    2.533   15.15   53.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6300 9000.00000 9000.00000 9000.000
   124  754.15    2.546   14.97   54.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6300 9000.00000 9000.00000 9000.000
   126  753.22    2.556   14.90   54.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6300 9000.00000 9000.00000 9000.000
   128  752.35    2.566   14.86   54.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6200 9000.00000 9000.00000 9000.000
   130  751.23    2.579   14.73   54.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6200 9000.00000 9000.00000 9000.000
   132  749.91    2.594   14.56   55.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6200 9000.00000 9000.00000 9000.000
   134  748.58    2.609   14.42   56.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6200 9000.00000 9000.00000 9000.000
   136  747.41    2.622   14.34   56.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6200 9000.00000 9000.00000 9000.000
   138  746.39    2.634   14.29   56.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6200 9000.00000 9000.00000 9000.000
   140  745.39    2.645   14.13   56.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6200 9000.00000 9000.00000 9000.000
   142  744.24    2.658   13.92   57.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6200 9000.00000 9000.00000 9000.000
   144  742.93    2.673   13.76   58.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6200 9000.00000 9000.00000 9000.000
   146  741.57    2.688   13.66   59.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6200 9000.00000 9000.00000 9000.000
   148  740.28    2.703   13.58   59.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6200 9000.00000 9000.00000 9000.000
   150  739.12    2.716   13.51   59.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6200 9000.00000 9000.00000 9000.000
   152  737.93    2.730   13.36   58.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6200 9000.00000 9000.00000 9000.000
   154  736.79    2.743   13.19   59.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6200 9000.00000 9000.00000 9000.000
   156  735.80    2.754   13.11   59.0 9000.0000 9000.0000    0.00 9000.00 9000.00 9000.00    0.6200 9000.00000 9000.00000 9000.000
