36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA; jacquelyn.witte@nasa.gov)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 12 December, 2017
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20041215
Launch Time (UT)                  : 08:17:00
Burst Pressure (hPa)              : 5.60
Integrated O3 to end of data (DU) : 215.63
Radiosonde                        : Vaisala RS80
Radiosonde Serial Number          : 412501504
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 2Z3989
KI Solution                       : 1% Full Buffer (10 g/L KI, 25 g/L KBr, 5.0 g/L Na2HPO4 12H2O, 1.25 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 28.440
Flowrate Correction (%)           : 1.76
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al, 1995
Transfer Function                 : Yes
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : Transfer function solution correction applied. https://doi.org/10.5194/amt-10-2021-2017
Comment : 
Time  Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec   hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  821.91    1.800   24.20   37.0    2.5692    0.0313    0.00 9000.00 9000.00   33.47    0.7500 9000.00000 9000.00000 9000.000
    10  821.90    1.800   24.30   39.0    2.4967    0.0304    0.00 9000.00 9000.00   33.57    0.7300 9000.00000 9000.00000 9000.000
    20  821.95    1.800   24.10   37.0    2.4983    0.0304   -0.00 9000.00 9000.00   33.77    0.7300 9000.00000 9000.00000 9000.000
    30  821.83    1.801   23.90   37.0    2.5350    0.0308    0.00 9000.00 9000.00   33.77    0.7400 9000.00000 9000.00000 9000.000
    40  821.84    1.801   24.00   40.0    2.4991    0.0304    0.00 9000.00 9000.00   33.87    0.7300 9000.00000 9000.00000 9000.000
    50  821.91    1.800   23.90   39.0    2.4632    0.0300    0.00 9000.00 9000.00   33.97    0.7200 9000.00000 9000.00000 9000.000
    60  821.80    1.801   23.60   40.0    2.5007    0.0304    0.00 9000.00 9000.00   34.07    0.7300 9000.00000 9000.00000 9000.000
    70  821.91    1.800   24.00   41.0    2.5007    0.0304    0.00 9000.00 9000.00   34.07    0.7300 9000.00000 9000.00000 9000.000
    80  821.79    1.801   24.30   41.0    2.5383    0.0309    0.00 9000.00 9000.00   34.17    0.7400 9000.00000 9000.00000 9000.000
    90  821.89    1.800   24.20   40.0    2.5383    0.0309    0.00 9000.00 9000.00   34.17    0.7400 9000.00000 9000.00000 9000.000
   100  820.15    1.819   22.90   40.0    2.6864    0.0328    0.04 9000.00 9000.00   34.27    0.7800 9000.00000 9000.00000 9000.000
   110  814.28    1.881   21.10   45.0    2.7599    0.0339    0.20 9000.00 9000.00   34.27    0.8000 9000.00000 9000.00000 9000.000
   120  808.28    1.945   20.20   47.0    2.8344    0.0351    0.36 9000.00 9000.00   34.37    0.8200 9000.00000 9000.00000 9000.000
