36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA; jacquelyn.witte@nasa.gov)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 12 December, 2017
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20090722
Launch Time (UT)                  : 07:14:00
Burst Pressure (hPa)              : 30.27
Integrated O3 to end of data (DU) : 81.41
Radiosonde                        : Vaisala RS80
Radiosonde Serial Number          : 258753944
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 2Z6312
KI Solution                       : 1% Full Buffer (10 g/L KI, 25 g/L KBr, 5.0 g/L Na2HPO4 12H2O, 1.25 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 28.200
Flowrate Correction (%)           : 1.76
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.040
Applied pump efficiency factors   : Komhyr et al, 1995
Transfer Function                 : Yes
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : Transfer function solution correction applied. https://doi.org/10.5194/amt-10-2021-2017
Comment : 
Time  Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec   hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  822.53    1.800   13.30   88.0    0.7591    0.0092    0.00 9000.00 9000.00   31.37    0.2500 9000.00000 9000.00000 9000.000
    10  818.18    1.845   12.60   90.0    0.7952    0.0097    0.03 9000.00 9000.00   31.37    0.2600 9000.00000 9000.00000 9000.000
    20  812.59    1.902   12.20   93.0    0.8675    0.0107    0.08 9000.00 9000.00   31.37    0.2800 9000.00000 9000.00000 9000.000
    30  807.09    1.959   11.90   94.0    0.9759    0.0121    0.13 9000.00 9000.00   31.37    0.3100 9000.00000 9000.00000 9000.000
    40  803.30    1.999   11.60   94.0    1.0843    0.0135    0.17 9000.00 9000.00   31.38    0.3400 9000.00000 9000.00000 9000.000
    50  799.11    2.043   11.40   94.0    1.2290    0.0154    0.21 9000.00 9000.00   31.38    0.3800 9000.00000 9000.00000 9000.000
    60  794.68    2.089   11.20   94.0    1.3736    0.0173    0.27 9000.00 9000.00   31.38    0.4200 9000.00000 9000.00000 9000.000
    70  790.71    2.131   11.00   94.0    1.4097    0.0178    0.33 9000.00 9000.00   31.38    0.4300 9000.00000 9000.00000 9000.000
    80  786.49    2.176   10.80   94.0    1.4459    0.0184    0.39 9000.00 9000.00   31.38    0.4400 9000.00000 9000.00000 9000.000
    90  782.35    2.220   10.60   94.0    1.4459    0.0185    0.45 9000.00 9000.00   31.39    0.4400 9000.00000 9000.00000 9000.000
   100  777.95    2.267   10.40   94.0    1.4459    0.0186    0.51 9000.00 9000.00   31.39    0.4400 9000.00000 9000.00000 9000.000
   110  773.47    2.315   10.20   94.0    1.4454    0.0187    0.58 9000.00 9000.00   31.29    0.4400 9000.00000 9000.00000 9000.000
   120  769.31    2.360   10.00   94.0    1.4454    0.0188    0.64 9000.00 9000.00   31.29    0.4400 9000.00000 9000.00000 9000.000
   130  764.81    2.409    9.80   94.0    1.4454    0.0189    0.70 9000.00 9000.00   31.29    0.4400 9000.00000 9000.00000 9000.000
   140  760.69    2.454    9.60   94.0    1.4455    0.0190    0.77 9000.00 9000.00   31.30    0.4400 9000.00000 9000.00000 9000.000
   150  756.47    2.500    9.40   93.0    1.4455    0.0191    0.83 9000.00 9000.00   31.30    0.4400 9000.00000 9000.00000 9000.000
   160  752.66    2.542    9.20   93.0    1.5539    0.0206    0.89 9000.00 9000.00   31.30    0.4700 9000.00000 9000.00000 9000.000
   170  748.86    2.584    9.00   93.0    1.9152    0.0256    0.96 9000.00 9000.00   31.30    0.5700 9000.00000 9000.00000 9000.000
   180  745.13    2.626    8.80   93.0    2.1682    0.0291    1.04 9000.00 9000.00   31.30    0.6400 9000.00000 9000.00000 9000.000
   190  741.53    2.666    8.60   93.0    2.3488    0.0317    1.13 9000.00 9000.00   31.30    0.6900 9000.00000 9000.00000 9000.000
   200  737.31    2.713    8.40   93.0    2.4573    0.0333    1.23 9000.00 9000.00   31.31    0.7200 9000.00000 9000.00000 9000.000
   210  733.39    2.757    8.30   92.0    2.5657    0.0350    1.34 9000.00 9000.00   31.31    0.7500 9000.00000 9000.00000 9000.000
   220  729.34    2.803    8.00   92.0    2.6019    0.0357    1.45 9000.00 9000.00   31.31    0.7600 9000.00000 9000.00000 9000.000
   230  724.49    2.859    8.00   93.0    2.6380    0.0364    1.59 9000.00 9000.00   31.31    0.7700 9000.00000 9000.00000 9000.000
   240  720.66    2.902    8.60   93.0    2.7465    0.0381    1.70 9000.00 9000.00   31.31    0.8000 9000.00000 9000.00000 9000.000
   250  717.18    2.943    8.70   91.0    2.8188    0.0393    1.81 9000.00 9000.00   31.32    0.8200 9000.00000 9000.00000 9000.000
   260  713.57    2.984    8.60   90.0    2.8549    0.0400    1.92 9000.00 9000.00   31.32    0.8300 9000.00000 9000.00000 9000.000
   270  709.66    3.030    8.40   91.0    2.8910    0.0407    2.05 9000.00 9000.00   31.32    0.8400 9000.00000 9000.00000 9000.000
   280  705.67    3.077    8.10   91.0    2.8910    0.0410    2.18 9000.00 9000.00   31.32    0.8400 9000.00000 9000.00000 9000.000
   290  701.29    3.128    7.80   89.0    2.8549    0.0407    2.32 9000.00 9000.00   31.32    0.8300 9000.00000 9000.00000 9000.000
   300  697.31    3.175    7.30   85.0    2.8188    0.0404    2.44 9000.00 9000.00   31.33    0.8200 9000.00000 9000.00000 9000.000
   310  693.93    3.215    7.00   85.0    2.7828    0.0401    2.55 9000.00 9000.00   31.33    0.8100 9000.00000 9000.00000 9000.000
   320  690.11    3.261    6.80   86.0    2.7466    0.0398    2.67 9000.00 9000.00   31.33    0.8000 9000.00000 9000.00000 9000.000
   330  686.01    3.310    6.70   88.0    2.7105    0.0395    2.80 9000.00 9000.00   31.33    0.7900 9000.00000 9000.00000 9000.000
   340  682.20    3.355    6.50   85.0    2.7105    0.0397    2.92 9000.00 9000.00   31.33    0.7900 9000.00000 9000.00000 9000.000
   350  677.97    3.407    6.10   82.0    2.6744    0.0394    3.05 9000.00 9000.00   31.34    0.7800 9000.00000 9000.00000 9000.000
   360  673.89    3.456    5.80   79.0    2.6744    0.0397    3.18 9000.00 9000.00   31.34    0.7800 9000.00000 9000.00000 9000.000
   370  669.91    3.505    5.40   75.0    2.6744    0.0399    3.31 9000.00 9000.00   31.34    0.7800 9000.00000 9000.00000 9000.000
   380  666.13    3.551    5.00   73.0    2.6383    0.0396    3.42 9000.00 9000.00   31.34    0.7700 9000.00000 9000.00000 9000.000
   390  661.56    3.607    4.70   70.0    2.6022    0.0393    3.57 9000.00 9000.00   31.34    0.7600 9000.00000 9000.00000 9000.000
   400  657.56    3.657    4.40   70.0    2.5661    0.0390    3.69 9000.00 9000.00   31.35    0.7500 9000.00000 9000.00000 9000.000
   410  653.75    3.704    4.20   68.0    2.5299    0.0387    3.81 9000.00 9000.00   31.35    0.7400 9000.00000 9000.00000 9000.000
   420  649.65    3.755    3.90   67.0    2.4938    0.0384    3.93 9000.00 9000.00   31.35    0.7300 9000.00000 9000.00000 9000.000
   430  645.90    3.802    3.80   65.0    2.4577    0.0381    4.05 9000.00 9000.00   31.35    0.7200 9000.00000 9000.00000 9000.000
   440  641.31    3.860    3.40   60.0    2.3492    0.0366    4.18 9000.00 9000.00   31.35    0.6900 9000.00000 9000.00000 9000.000
   450  637.75    3.905    3.10   57.0    2.2770    0.0357    4.28 9000.00 9000.00   31.36    0.6700 9000.00000 9000.00000 9000.000
   460  634.43    3.948    3.00   55.0    2.2047    0.0348    4.37 9000.00 9000.00   31.36    0.6500 9000.00000 9000.00000 9000.000
   470  630.77    3.995    3.10   53.0    2.1685    0.0344    4.47 9000.00 9000.00   31.36    0.6400 9000.00000 9000.00000 9000.000
   480  627.14    4.041    3.00   53.0    2.0963    0.0334    4.57 9000.00 9000.00   31.36    0.6200 9000.00000 9000.00000 9000.000
