36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Ryan M. Stauffer (NASA/Goddard Space Flight Center, USA; ryan.m.stauffer@nasa.gov)
SHADOZ Archive Curator            : Debra E Kollonige (SSAI affiliated with NASA/GSFC, USA)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : Fri Oct 14 14:50:30 2022
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.76
Elevation (m)                     : 1795.00
Launch Date                       : 20200212
Launch Time (UT)                  : 08:56:48
Burst Pressure (hPa)              : 6.95
Integrated O3 to end of data (DU) : 208.03
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : N2643184
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z33322
KI Solution                       : 0.5% Half Buffer
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 30.000
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al., 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time   Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lat    GPS_Lon   GPS_Alt
sec    hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  823.70    1.800   23.70   56.0    4.0565    0.0492    0.00  127.00    0.50   37.58    1.0600   -1.30180   36.75930 9000.000
     2  822.95    1.808   23.51   42.0    4.0566    0.0493    0.03   78.00    2.20   37.59    1.0600   -1.30180   36.75910 9000.000
     4  821.84    1.820   23.23   42.0    4.1371    0.0503    0.07   69.00    2.70   37.60    1.0800   -1.30190   36.75900 9000.000
     6  820.49    1.834   22.86   43.0    4.1371    0.0504    0.13   70.00    2.80   37.60    1.0800   -1.30190   36.75890 9000.000
     8  819.22    1.848   22.49   44.0    4.1371    0.0505    0.18   68.00    3.00   37.60    1.0800   -1.30190   36.75880 9000.000
    10  818.19    1.859   22.40   45.0    4.1371    0.0506    0.22   66.00    3.10   37.60    1.0800   -1.30190   36.75870 9000.000
    12  817.04    1.871   22.37   45.0    4.1773    0.0511    0.26   64.00    3.20   37.60    1.0900   -1.30180   36.75860 9000.000
    14  815.78    1.884   22.17   45.0    4.2577    0.0522    0.32   61.00    3.30   37.61    1.1100   -1.30190   36.75850 9000.000
    16  814.49    1.898   21.91   46.0    4.2577    0.0523    0.37   59.00    3.30   37.61    1.1100   -1.30200   36.75840 9000.000
    18  813.18    1.912   21.71   46.0    4.2981    0.0529    0.42   55.00    3.30   37.62    1.1200   -1.30210   36.75840 9000.000
    20  811.97    1.925   21.65   47.0    4.3382    0.0534    0.47   52.00    3.20   37.62    1.1300   -1.30210   36.75850 9000.000
    22  810.75    1.938   21.60   47.0    4.3382    0.0535    0.53   48.00    3.20   37.62    1.1300   -1.30210   36.75850 9000.000
