36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA; jacquelyn.witte@nasa.gov)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 12 December, 2017
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20150916
Launch Time (UT)                  : 08:45:26
Burst Pressure (hPa)              : 7.89
Integrated O3 to end of data (DU) : 216.17
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : K4253779
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z25466
KI Solution                       : 0.5% Half Buffer (5 g/L KI, 12.5 g/L KBr, 2.5 g/L Na2HPO4 12H2O, 0.625 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 28.800
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al, 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time  Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec   hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  826.20    1.800   18.30   65.0    3.2132    0.0389    0.00   99.00    3.00   35.13    0.8900 9000.00000 9000.00000 9000.000
     2  825.29    1.809   18.23   51.0    3.2899    0.0399    0.03   84.00    1.20   35.14    0.9100 9000.00000 9000.00000 9000.000
     4  824.07    1.822   18.13   55.0    3.3664    0.0409    0.07   85.00    1.10   35.14    0.9300 9000.00000 9000.00000 9000.000
     6  822.71    1.836   17.96   57.0    3.3664    0.0409    0.11   88.00    1.30   35.14    0.9300 9000.00000 9000.00000 9000.000
     8  821.53    1.849   17.86   59.0    3.3664    0.0410    0.15   90.00    1.50   35.14    0.9300 9000.00000 9000.00000 9000.000
    10  820.67    1.858   17.83   60.0    3.3664    0.0410    0.18   90.00    1.60   35.14    0.9300 9000.00000 9000.00000 9000.000
    12  819.68    1.868   17.73   60.0    3.4045    0.0415    0.21   90.00    1.80   35.13    0.9400 9000.00000 9000.00000 9000.000
    14  818.45    1.881   17.52   61.0    3.4810    0.0425    0.25   89.00    1.90   35.13    0.9600 9000.00000 9000.00000 9000.000
    16  817.27    1.893   17.37   61.0    3.4809    0.0426    0.29   88.00    2.10   35.12    0.9600 9000.00000 9000.00000 9000.000
    18  816.12    1.905   17.27   61.0    3.5573    0.0436    0.33   86.00    2.20   35.11    0.9800 9000.00000 9000.00000 9000.000
    20  814.85    1.918   17.17   62.0    3.5572    0.0437    0.37   83.00    2.40   35.10    0.9800 9000.00000 9000.00000 9000.000
    22  813.50    1.933   16.98   62.0    3.5569    0.0437    0.42   81.00    2.60   35.08    0.9800 9000.00000 9000.00000 9000.000
    24  812.50    1.943   16.91   63.0    3.5952    0.0442    0.45   78.00    2.80   35.08    0.9900 9000.00000 9000.00000 9000.000
