36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA; jacquelyn.witte@nasa.gov)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 12 December, 2017
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20150930
Launch Time (UT)                  : 07:11:28
Burst Pressure (hPa)              : 44.90
Integrated O3 to end of data (DU) : 60.23
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : J3123352
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z25442
KI Solution                       : 0.5% Half Buffer (5 g/L KI, 12.5 g/L KBr, 2.5 g/L Na2HPO4 12H2O, 0.625 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 28.900
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al, 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time  Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec   hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  824.00    1.800   19.50   70.0    1.9218    0.0233    0.00  120.00    3.00   35.53    0.5500 9000.00000 9000.00000 9000.000
     2  823.25    1.808   18.89   56.0    1.9218    0.0233    0.01  125.00    0.80   35.53    0.5500 9000.00000 9000.00000 9000.000
     4  822.19    1.819   18.33   60.0    1.9219    0.0234    0.03  130.00    0.80   35.55    0.5500 9000.00000 9000.00000 9000.000
     6  820.88    1.833   18.09   64.0    1.9220    0.0234    0.06  135.00    1.10   35.56    0.5500 9000.00000 9000.00000 9000.000
     8  819.61    1.846   18.03   66.0    1.9604    0.0239    0.08  138.00    1.30   35.56    0.5600 9000.00000 9000.00000 9000.000
    10  818.32    1.859   18.05   68.0    1.9604    0.0240    0.11  141.00    1.50   35.56    0.5600 9000.00000 9000.00000 9000.000
    12  817.20    1.871   17.90   68.0    1.9604    0.0240    0.13  142.00    1.70   35.56    0.5600 9000.00000 9000.00000 9000.000
    14  816.24    1.881   17.82   69.0    1.9603    0.0240    0.15  143.00    1.90   35.55    0.5600 9000.00000 9000.00000 9000.000
    16  815.19    1.892   17.69   70.0    1.9603    0.0240    0.17  144.00    2.20   35.55    0.5600 9000.00000 9000.00000 9000.000
    18  814.07    1.904   17.57   71.0    1.9603    0.0241    0.19  144.00    2.40   35.54    0.5600 9000.00000 9000.00000 9000.000
    20  813.13    1.914   17.38   71.0    1.9603    0.0241    0.20  144.00    2.60   35.54    0.5600 9000.00000 9000.00000 9000.000
    22  812.38    1.922   17.21   71.0    1.9603    0.0241    0.22  143.00    2.70   35.54    0.5600 9000.00000 9000.00000 9000.000
    24  811.59    1.930   17.14   72.0    1.9603    0.0242    0.23  142.00    2.80   35.54    0.5600 9000.00000 9000.00000 9000.000
    26  810.74    1.939   16.93   71.0    1.9603    0.0242    0.25  141.00    2.90   35.54    0.5600 9000.00000 9000.00000 9000.000
    28  809.79    1.949   16.80   71.0    1.9603    0.0242    0.27  139.00    3.00   35.54    0.5600 9000.00000 9000.00000 9000.000
    30  808.69    1.961   16.65   72.0    1.9603    0.0242    0.29  137.00    3.00   35.54    0.5600 9000.00000 9000.00000 9000.000
    32  807.70    1.971   16.53   73.0    1.9987    0.0247    0.31  134.00    2.90   35.54    0.5700 9000.00000 9000.00000 9000.000
    34  806.62    1.983   16.43   74.0    1.9988    0.0248    0.33  132.00    2.90   35.55    0.5700 9000.00000 9000.00000 9000.000
    36  805.49    1.995   16.37   75.0    1.9988    0.0248    0.35  129.00    2.80   35.56    0.5700 9000.00000 9000.00000 9000.000
    38  804.39    2.006   16.30   75.0    2.0373    0.0253    0.37  125.00    2.70   35.56    0.5800 9000.00000 9000.00000 9000.000
    40  803.37    2.017   16.23   74.0    2.0373    0.0254    0.39  122.00    2.60   35.56    0.5800 9000.00000 9000.00000 9000.000
    42  802.44    2.027   16.18   74.0    2.0373    0.0254    0.41  119.00    2.60   35.57    0.5800 9000.00000 9000.00000 9000.000
    44  801.31    2.039   15.99   75.0    2.0374    0.0254    0.43  115.00    2.50   35.58    0.5800 9000.00000 9000.00000 9000.000
    46  800.11    2.052   15.78   76.0    2.0759    0.0259    0.46  112.00    2.50   35.58    0.5900 9000.00000 9000.00000 9000.000
    48  798.89    2.065   15.65   76.0    2.0759    0.0260    0.48  109.00    2.50   35.58    0.5900 9000.00000 9000.00000 9000.000
    50  797.72    2.077   15.59   76.0    2.0759    0.0260    0.51  107.00    2.60   35.59    0.5900 9000.00000 9000.00000 9000.000
    52  796.77    2.087   15.58   76.0    2.1144    0.0265    0.53  105.00    2.60   35.59    0.6000 9000.00000 9000.00000 9000.000
    54  795.90    2.096   15.53   76.0    2.1143    0.0266    0.55  103.00    2.70   35.58    0.6000 9000.00000 9000.00000 9000.000
    56  794.94    2.107   15.37   76.0    2.1143    0.0266    0.57  102.00    2.80   35.58    0.6000 9000.00000 9000.00000 9000.000
    58  793.88    2.118   15.19   77.0    2.1143    0.0266    0.59  101.00    2.80   35.58    0.6000 9000.00000 9000.00000 9000.000
