36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA; jacquelyn.witte@nasa.gov)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 12 December, 2017
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20150923
Launch Time (UT)                  : 07:39:03
Burst Pressure (hPa)              : 8.06
Integrated O3 to end of data (DU) : 231.27
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : K4273582
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z25469
KI Solution                       : 0.5% Half Buffer (5 g/L KI, 12.5 g/L KBr, 2.5 g/L Na2HPO4 12H2O, 0.625 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 28.700
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al, 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time  Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec   hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  827.50    1.800   15.50   76.0    2.3339    0.0282    0.00    0.00    0.00   31.28    0.6700 9000.00000 9000.00000 9000.000
     2  825.59    1.820   16.46   66.0    2.3716    0.0287    0.04  109.00    2.10   31.28    0.6800 9000.00000 9000.00000 9000.000
     4  824.38    1.832   16.69   65.0    2.3716    0.0288    0.07  117.00    2.50   31.29    0.6800 9000.00000 9000.00000 9000.000
     6  823.45    1.842   16.50   66.0    2.4093    0.0293    0.09  112.00    2.60   31.29    0.6900 9000.00000 9000.00000 9000.000
     8  822.71    1.849   16.41   67.0    2.4093    0.0293    0.11  111.00    2.80   31.29    0.6900 9000.00000 9000.00000 9000.000
    10  821.88    1.858   16.35   68.0    2.4092    0.0293    0.13  110.00    2.90   31.28    0.6900 9000.00000 9000.00000 9000.000
    12  820.86    1.869   16.20   69.0    2.4092    0.0293    0.15  109.00    3.00   31.28    0.6900 9000.00000 9000.00000 9000.000
    14  819.97    1.878   16.08   70.0    2.4468    0.0298    0.17  108.00    3.00   31.27    0.7000 9000.00000 9000.00000 9000.000
    16  819.09    1.887   16.01   70.0    2.4468    0.0299    0.19  106.00    2.90   31.27    0.7000 9000.00000 9000.00000 9000.000
    18  818.03    1.898   15.91   71.0    2.4468    0.0299    0.22  105.00    2.80   31.27    0.7000 9000.00000 9000.00000 9000.000
    20  817.03    1.908   15.83   71.0    2.4468    0.0299    0.24  104.00    2.70   31.27    0.7000 9000.00000 9000.00000 9000.000
    22  816.11    1.918   15.78   71.0    2.4845    0.0304    0.26  102.00    2.50   31.28    0.7100 9000.00000 9000.00000 9000.000
    24  815.04    1.929   15.67   72.0    2.4845    0.0305    0.29  101.00    2.30   31.28    0.7100 9000.00000 9000.00000 9000.000
    26  814.07    1.939   15.60   72.0    2.5221    0.0310    0.31  100.00    2.10   31.28    0.7200 9000.00000 9000.00000 9000.000
    28  813.06    1.950   15.56   72.0    2.5221    0.0310    0.34   98.00    1.90   31.28    0.7200 9000.00000 9000.00000 9000.000
    30  811.92    1.962   15.42   72.0    2.5222    0.0311    0.37   97.00    1.70   31.29    0.7200 9000.00000 9000.00000 9000.000
    32  810.99    1.972   15.33   73.0    2.5221    0.0311    0.39   97.00    1.40   31.28    0.7200 9000.00000 9000.00000 9000.000
    34  809.94    1.983   15.25   73.0    2.5598    0.0316    0.41   96.00    1.20   31.28    0.7300 9000.00000 9000.00000 9000.000
    36  808.71    1.995   15.09   74.0    2.5598    0.0317    0.45   95.00    1.00   31.28    0.7300 9000.00000 9000.00000 9000.000
    38  807.42    2.009   14.94   74.0    2.5598    0.0317    0.48   95.00    0.90   31.28    0.7300 9000.00000 9000.00000 9000.000
    40  806.19    2.022   14.80   75.0    2.5598    0.0318    0.51   95.00    0.70   31.28    0.7300 9000.00000 9000.00000 9000.000
    42  805.29    2.031   14.70   75.0    2.5599    0.0318    0.53   95.00    0.60   31.29    0.7300 9000.00000 9000.00000 9000.000
    44  804.54    2.039   14.64   75.0    2.5598    0.0318    0.55   95.00    0.50   31.28    0.7300 9000.00000 9000.00000 9000.000
    46  803.73    2.048   14.58   76.0    2.5597    0.0318    0.57    0.00    0.40   31.27    0.7300 9000.00000 9000.00000 9000.000
    48  802.87    2.057   14.54   76.0    2.5596    0.0319    0.59    0.00    0.40   31.26    0.7300 9000.00000 9000.00000 9000.000
    50  801.86    2.068   14.46   76.0    2.5972    0.0324    0.62    0.00    0.40   31.25    0.7400 9000.00000 9000.00000 9000.000
    52  800.84    2.078   14.35   76.0    2.5973    0.0324    0.64    0.00    0.50   31.26    0.7400 9000.00000 9000.00000 9000.000
    54  799.59    2.092   14.21   77.0    2.5973    0.0325    0.68   98.00    0.60   31.26    0.7400 9000.00000 9000.00000 9000.000
