36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA; jacquelyn.witte@nasa.gov)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 12 December, 2017
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20150909
Launch Time (UT)                  : 07:10:29
Burst Pressure (hPa)              : 9.02
Integrated O3 to end of data (DU) : 223.69
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : K4273578
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z25473
KI Solution                       : 0.5% Half Buffer (5 g/L KI, 12.5 g/L KBr, 2.5 g/L Na2HPO4 12H2O, 0.625 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 29.600
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al, 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time  Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec   hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  825.20    1.800   17.50   47.0    3.0799    0.0373    0.00   20.00    2.00   32.55    0.8400 9000.00000 9000.00000 9000.000
     2  824.46    1.808   19.00   50.0    3.0800    0.0374    0.02   65.00    2.10   32.56    0.8400 9000.00000 9000.00000 9000.000
     4  823.42    1.819   18.80   52.0    3.1581    0.0384    0.05   68.00    2.50   32.57    0.8600 9000.00000 9000.00000 9000.000
     6  822.24    1.831   18.70   53.0    3.1581    0.0384    0.09   67.00    2.80   32.57    0.8600 9000.00000 9000.00000 9000.000
     8  821.22    1.842   18.61   53.0    3.1582    0.0385    0.12   67.00    3.20   32.58    0.8600 9000.00000 9000.00000 9000.000
    10  820.18    1.852   18.50   53.0    3.1582    0.0385    0.15   68.00    3.40   32.58    0.8600 9000.00000 9000.00000 9000.000
    12  819.19    1.863   18.48   53.0    3.1582    0.0386    0.18   68.00    3.70   32.58    0.8600 9000.00000 9000.00000 9000.000
    14  818.20    1.873   18.44   54.0    3.1972    0.0391    0.21   68.00    3.80   32.58    0.8700 9000.00000 9000.00000 9000.000
    16  817.23    1.883   18.30   54.0    3.1972    0.0391    0.24   68.00    3.90   32.58    0.8700 9000.00000 9000.00000 9000.000
    18  816.04    1.896   18.20   55.0    3.1971    0.0392    0.28   68.00    3.90   32.57    0.8700 9000.00000 9000.00000 9000.000
    20  814.67    1.910   18.14   55.0    3.1971    0.0392    0.32   68.00    3.90   32.57    0.8700 9000.00000 9000.00000 9000.000
    22  813.57    1.922   18.05   55.0    3.1972    0.0393    0.35   67.00    3.80   32.58    0.8700 9000.00000 9000.00000 9000.000
    24  812.64    1.932   18.02   55.0    3.1972    0.0393    0.38   66.00    3.70   32.58    0.8700 9000.00000 9000.00000 9000.000
    26  811.62    1.942   17.91   55.0    3.1972    0.0394    0.42   65.00    3.60   32.58    0.8700 9000.00000 9000.00000 9000.000
    28  810.38    1.955   17.69   56.0    3.1972    0.0395    0.45   63.00    3.40   32.58    0.8700 9000.00000 9000.00000 9000.000
    30  809.29    1.967   17.58   56.0    3.2362    0.0400    0.49   61.00    3.30   32.58    0.8800 9000.00000 9000.00000 9000.000
    32  808.37    1.977   17.38   56.0    3.2362    0.0400    0.52   58.00    3.20   32.58    0.8800 9000.00000 9000.00000 9000.000
    34  807.30    1.988   17.18   57.0    3.2363    0.0401    0.55   55.00    3.00   32.59    0.8800 9000.00000 9000.00000 9000.000
    36  806.36    1.998   17.05   58.0    3.2363    0.0401    0.58   52.00    3.00   32.59    0.8800 9000.00000 9000.00000 9000.000
    38  805.42    2.008   16.92   59.0    3.2754    0.0407    0.61   50.00    2.90   32.60    0.8900 9000.00000 9000.00000 9000.000
    40  804.30    2.020   16.82   59.0    3.2754    0.0407    0.65   48.00    2.90   32.60    0.8900 9000.00000 9000.00000 9000.000
    42  803.19    2.032   16.79   59.0    3.3145    0.0413    0.68   46.00    2.90   32.61    0.9000 9000.00000 9000.00000 9000.000
    44  802.17    2.042   16.65   59.0    3.3144    0.0413    0.72   46.00    2.90   32.60    0.9000 9000.00000 9000.00000 9000.000
    46  801.35    2.051   16.40   60.0    3.3144    0.0414    0.74   46.00    2.90   32.60    0.9000 9000.00000 9000.00000 9000.000
    48  800.30    2.062   16.09   60.0    3.3144    0.0414    0.78   47.00    2.90   32.60    0.9000 9000.00000 9000.00000 9000.000
    50  799.13    2.075   15.92   61.0    3.3143    0.0415    0.82   49.00    2.90   32.59    0.9000 9000.00000 9000.00000 9000.000
    52  798.02    2.086   15.80   60.0    3.3143    0.0415    0.85   52.00    2.90   32.59    0.9000 9000.00000 9000.00000 9000.000
