36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA; jacquelyn.witte@nasa.gov)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 12 December, 2017
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20151001
Launch Time (UT)                  : 07:38:15
Burst Pressure (hPa)              : 8.13
Integrated O3 to end of data (DU) : 223.68
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : J3123406
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z25427
KI Solution                       : 0.5% Half Buffer (5 g/L KI, 12.5 g/L KBr, 2.5 g/L Na2HPO4 12H2O, 0.625 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 28.900
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al, 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time  Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec   hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  823.90    1.800   23.00   53.0    2.7264    0.0331    0.00   80.00    3.00   35.25    0.7600 9000.00000 9000.00000 9000.000
     2  822.47    1.815   22.57   47.0    2.7649    0.0336    0.04   63.00    3.00   35.26    0.7700 9000.00000 9000.00000 9000.000
     4  821.03    1.830   22.14   48.0    2.7651    0.0337    0.08   61.00    3.50   35.28    0.7700 9000.00000 9000.00000 9000.000
     6  819.50    1.847   21.68   50.0    2.7651    0.0337    0.12   62.00    4.00   35.28    0.7700 9000.00000 9000.00000 9000.000
     8  817.96    1.863   21.21   51.0    2.7652    0.0338    0.16   61.00    4.40   35.29    0.7700 9000.00000 9000.00000 9000.000
    10  816.58    1.878   20.80   52.0    2.7652    0.0339    0.19   61.00    4.80   35.29    0.7700 9000.00000 9000.00000 9000.000
    12  815.24    1.892   20.40   53.0    2.7268    0.0334    0.23   60.00    5.10   35.29    0.7600 9000.00000 9000.00000 9000.000
    14  813.98    1.905   20.15   55.0    2.7268    0.0335    0.26   60.00    5.40   35.29    0.7600 9000.00000 9000.00000 9000.000
    16  812.98    1.916   19.90   57.0    2.7650    0.0340    0.29   60.00    5.70   35.27    0.7700 9000.00000 9000.00000 9000.000
    18  812.16    1.924   19.81   58.0    2.7649    0.0340    0.31   61.00    5.80   35.26    0.7700 9000.00000 9000.00000 9000.000
    20  811.20    1.935   19.74   58.0    2.7648    0.0341    0.34   61.00    5.90   35.25    0.7700 9000.00000 9000.00000 9000.000
    22  810.13    1.946   19.68   59.0    2.8416    0.0351    0.37   62.00    5.90   35.24    0.7900 9000.00000 9000.00000 9000.000
    24  809.00    1.958   19.53   59.0    2.8415    0.0351    0.40   63.00    5.80   35.23    0.7900 9000.00000 9000.00000 9000.000
