36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Ryan M. Stauffer (NASA/Goddard Space Flight Center, USA; ryan.m.stauffer@nasa.gov)
SHADOZ Archive Curator            : Debra E Kollonige (SSAI affiliated with NASA/GSFC, USA)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : Fri Oct 14 14:50:04 2022
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.76
Elevation (m)                     : 1795.00
Launch Date                       : 20200108
Launch Time (UT)                  : 07:18:38
Burst Pressure (hPa)              : 6.25
Integrated O3 to end of data (DU) : 198.65
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : N1313323
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z33250
KI Solution                       : 0.5% Half Buffer
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 29.500
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al., 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time   Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lat    GPS_Lon   GPS_Alt
sec    hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  824.70    1.800   16.60   97.0    1.0501    0.0127    0.00   90.00    9.00   32.84    0.3200   -1.30180   36.75930 9000.000
     2  823.49    1.813   17.33   82.0    1.0890    0.0132    0.01   42.00    4.90   32.84    0.3300   -1.30190   36.75900 9000.000
     4  822.44    1.824   17.22   84.0    1.1278    0.0137    0.02   34.00    4.60   32.84    0.3400   -1.30200   36.75890 9000.000
     6  821.37    1.835   17.13   85.0    1.1278    0.0137    0.04   36.00    5.20   32.83    0.3400   -1.30210   36.75880 9000.000
     8  820.19    1.847   16.99   85.0    1.1278    0.0138    0.05   37.00    5.60   32.83    0.3400   -1.30220   36.75870 9000.000
    10  818.95    1.860   16.87   86.0    1.1667    0.0142    0.06   37.00    5.90   32.82    0.3500   -1.30230   36.75860 9000.000
    12  817.84    1.872   16.81   87.0    1.1666    0.0143    0.07   38.00    6.20   32.81    0.3500   -1.30250   36.75860 9000.000
    14  816.75    1.883   16.68   87.0    1.2055    0.0148    0.09   39.00    6.40   32.81    0.3600   -1.30260   36.75850 9000.000
    16  815.40    1.897   16.49   88.0    1.2055    0.0148    0.10   40.00    6.60   32.81    0.3600   -1.30280   36.75850 9000.000
    18  813.99    1.912   16.37   89.0    1.2055    0.0148    0.12   41.00    6.80   32.81    0.3600   -1.30280   36.75840 9000.000
    20  812.64    1.926   16.24   88.0    1.2445    0.0153    0.13   42.00    6.90   32.82    0.3700   -1.30290   36.75840 9000.000
    22  811.31    1.940   16.08   89.0    1.2445    0.0153    0.15   43.00    7.10   32.82    0.3700   -1.30300   36.75830 9000.000
    24  810.09    1.953   15.95   89.0    1.2445    0.0154    0.17   44.00    7.30   32.82    0.3700   -1.30300   36.75810 9000.000
    26  808.85    1.966   15.80   90.0    1.2834    0.0159    0.18   45.00    7.50   32.83    0.3800   -1.30300   36.75800 9000.000
    28  807.66    1.978   15.67   91.0    1.2834    0.0159    0.20   45.00    7.80   32.83    0.3800   -1.30310   36.75800 9000.000
    30  806.52    1.990   15.54   92.0    1.2834    0.0159    0.21   46.00    8.00   32.84    0.3800   -1.30320   36.75790 9000.000
    32  805.41    2.002   15.45   92.0    1.2834    0.0159    0.22   47.00    8.40   32.85    0.3800   -1.30330   36.75770 9000.000
    34  804.36    2.013   15.39   92.0    1.3224    0.0164    0.24   47.00    8.70   32.86    0.3900   -1.30350   36.75760 9000.000
    36  803.25    2.025   15.29   93.0    1.3224    0.0165    0.25   48.00    9.00   32.86    0.3900   -1.30360   36.75760 9000.000
    38  802.04    2.038   15.17   93.0    1.3224    0.0165    0.27   49.00    9.40   32.87    0.3900   -1.30380   36.75750 9000.000
    40  800.69    2.052   15.04   94.0    1.3224    0.0165    0.29   51.00    9.70   32.87    0.3900   -1.30390   36.75730 9000.000
    42  799.35    2.066   14.90   94.0    1.3614    0.0170    0.30   52.00   10.00   32.88    0.4000   -1.30400   36.75710 9000.000
    44  798.10    2.080   14.77   95.0    1.3614    0.0171    0.32   53.00   10.30   32.88    0.4000   -1.30410   36.75700 9000.000
    46  796.89    2.093   14.69   95.0    1.3614    0.0171    0.34   55.00   10.60   32.89    0.4000   -1.30430   36.75680 9000.000
    48  795.82    2.104   14.61   95.0    1.3615    0.0171    0.35   57.00   10.90   32.90    0.4000   -1.30440   36.75660 9000.000
    50  794.92    2.114   14.54   95.0    1.3615    0.0171    0.36   58.00   11.20   32.90    0.4000   -1.30440   36.75640 9000.000
    52  794.02    2.123   14.51   96.0    1.4004    0.0176    0.38   60.00   11.40   32.90    0.4100   -1.30440   36.75630 9000.000
    54  793.10    2.133   14.46   96.0    1.4004    0.0177    0.39   61.00   11.60   32.91    0.4100   -1.30450   36.75620 9000.000
    56  792.25    2.142   14.37   95.0    1.4004    0.0177    0.40   62.00   11.80   32.91    0.4100   -1.30470   36.75600 9000.000
    58  791.34    2.152   14.32   95.0    1.4005    0.0177    0.41   63.00   12.00   32.92    0.4100   -1.30480   36.75570 9000.000
    60  790.44    2.161   14.24   92.0    1.4005    0.0177    0.43   64.00   12.20   32.92    0.4100   -1.30490   36.75550 9000.000
    62  789.50    2.172   14.33   90.0    1.4005    0.0177    0.44   64.00   12.40   32.93    0.4100   -1.30490   36.75530 9000.000
    64  788.49    2.182   14.36   90.0    1.4005    0.0178    0.45   64.00   12.50   32.93    0.4100   -1.30500   36.75510 9000.000
    66  787.56    2.192   14.27   90.0    1.4394    0.0183    0.47   63.00   12.60   32.93    0.4200   -1.30510   36.75480 9000.000
    68  786.56    2.203   14.18   90.0    1.4395    0.0183    0.48   63.00   12.70   32.94    0.4200   -1.30530   36.75450 9000.000
    70  785.49    2.215   14.12   89.0    1.4784    0.0188    0.50   62.00   12.80   32.94    0.4300   -1.30540   36.75440 9000.000
    72  784.43    2.226   14.04   89.0    1.4784    0.0188    0.51   61.00   12.90   32.95    0.4300   -1.30550   36.75430 9000.000
    74  783.40    2.237   13.91   90.0    1.5173    0.0194    0.53   60.00   12.90   32.95    0.4400   -1.30550   36.75410 9000.000
    76  782.51    2.247   13.84   90.0    1.5173    0.0194    0.54   60.00   13.00   32.96    0.4400   -1.30560   36.75380 9000.000
    78  781.59    2.257   13.82   89.0    1.5174    0.0194    0.55   59.00   13.10   32.97    0.4400   -1.30580   36.75360 9000.000
    80  780.60    2.267   13.70   90.0    1.5564    0.0199    0.57   58.00   13.20   32.98    0.4500   -1.30600   36.75340 9000.000
    82  779.49    2.280   13.51   91.0    1.5564    0.0200    0.59   57.00   13.30   32.98    0.4500   -1.30620   36.75330 9000.000
    84  778.35    2.292   13.35   92.0    1.5564    0.0200    0.61   56.00   13.40   32.99    0.4500   -1.30620   36.75310 9000.000
    86  777.25    2.304   13.26   92.0    1.5953    0.0205    0.62   56.00   13.50   32.99    0.4600   -1.30630   36.75280 9000.000
    88  776.10    2.316   13.17   93.0    1.5954    0.0206    0.64   55.00   13.50   33.00    0.4600   -1.30640   36.75260 9000.000
    90  774.93    2.329   13.14   92.0    1.5954    0.0206    0.66   55.00   13.60   33.00    0.4600   -1.30660   36.75240 9000.000
    92  773.73    2.342   13.19   90.0    1.5954    0.0206    0.68   54.00   13.60   33.01    0.4600   -1.30680   36.75220 9000.000
    94  772.47    2.356   13.01   91.0    1.6344    0.0212    0.70   54.00   13.70   33.01    0.4700   -1.30700   36.75200 9000.000
