36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Ryan M. Stauffer (NASA/Goddard Space Flight Center, USA; ryan.m.stauffer@nasa.gov)
SHADOZ Archive Curator            : Debra E Kollonige (SSAI affiliated with NASA/GSFC, USA)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : Fri Oct 14 14:50:40 2022
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.76
Elevation (m)                     : 1795.00
Launch Date                       : 20200304
Launch Time (UT)                  : 08:46:02
Burst Pressure (hPa)              : 6.39
Integrated O3 to end of data (DU) : 221.48
Radiosonde                        : Vaisala RS92
Radiosonde Serial Number          : N2633092
Geom. Press. Offset Correction    : Yes
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 1Z33246
KI Solution                       : 0.5% Half Buffer
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 30.200
Flowrate Correction (%)           : 9000
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.040
Applied pump efficiency factors   : Komhyr et al., 1995
Transfer Function                 : No
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : 
Comment : 
Time   Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lat    GPS_Lon   GPS_Alt
sec    hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  826.30    1.800   22.30   62.0    3.8806    0.0470    0.00   42.00    1.90   40.79    0.9900   -1.30180   36.75930 9000.000
     2  824.01    1.824   22.10   53.0    3.8806    0.0471    0.09   89.00    1.40   40.79    0.9900   -1.30180   36.75910 9000.000
     4  822.70    1.838   21.98   53.0    3.8806    0.0472    0.13   91.00    1.60   40.79    0.9900   -1.30180   36.75910 9000.000
     6  821.55    1.850   21.96   54.0    3.8398    0.0467    0.18   88.00    1.80   40.79    0.9800   -1.30180   36.75910 9000.000
     8  820.61    1.860   21.88   55.0    3.8398    0.0468    0.21   87.00    2.00   40.79    0.9800   -1.30170   36.75900 9000.000
    10  819.83    1.868   21.70   55.0    3.8399    0.0468    0.24   87.00    2.10   40.80    0.9800   -1.30170   36.75890 9000.000
    12  818.83    1.879   21.41   55.0    3.8808    0.0474    0.28   86.00    2.20   40.80    0.9900   -1.30170   36.75880 9000.000
    14  817.88    1.889   21.24   56.0    4.0033    0.0489    0.31   87.00    2.30   40.80    1.0200   -1.30180   36.75880 9000.000
    16  817.01    1.898   21.12   56.0    4.0034    0.0490    0.35   87.00    2.30   40.81    1.0200   -1.30180   36.75870 9000.000
    18  816.17    1.907   20.98   57.0    4.0034    0.0491    0.38   87.00    2.30   40.81    1.0200   -1.30190   36.75870 9000.000
    20  815.32    1.916   20.89   58.0    4.0443    0.0496    0.41   88.00    2.30   40.81    1.0300   -1.30190   36.75870 9000.000
    22  814.44    1.926   20.81   58.0    4.0852    0.0502    0.45   89.00    2.20   40.81    1.0400   -1.30180   36.75870 9000.000
    24  813.34    1.937   20.67   59.0    4.0852    0.0502    0.49   90.00    2.20   40.81    1.0400   -1.30180   36.75870 9000.000
    26  812.21    1.949   20.57   60.0    4.1260    0.0508    0.54   91.00    2.10   40.81    1.0500   -1.30180   36.75860 9000.000
    28  811.00    1.962   20.50   62.0    4.1260    0.0509    0.58   92.00    2.10   40.81    1.0500   -1.30180   36.75850 9000.000
    30  809.86    1.974   20.45   63.0    4.1260    0.0509    0.63   92.00    2.00   40.81    1.0500   -1.30190   36.75850 9000.000
    32  808.77    1.986   20.27   64.0    4.1260    0.0510    0.67   92.00    2.00   40.81    1.0500   -1.30180   36.75850 9000.000
    34  807.51    2.000   19.97   65.0    4.1261    0.0511    0.72   91.00    1.90   40.81    1.0500   -1.30170   36.75850 9000.000
    36  806.05    2.015   19.90   65.0    4.1261    0.0512    0.78   90.00    1.90   40.81    1.0500   -1.30170   36.75840 9000.000
    38  804.53    2.032   19.82   65.0    4.1261    0.0513    0.85   88.00    1.80   40.82    1.0500   -1.30170   36.75830 9000.000
