36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA; jacquelyn.witte@nasa.gov)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 12 December, 2017
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20000906
Launch Time (UT)                  : 08:08:00
Burst Pressure (hPa)              : 6.78
Integrated O3 to end of data (DU) : 225.54
Radiosonde                        : Vaisala RS80
Radiosonde Serial Number          : 948166712
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 2Z1728
KI Solution                       : 1% Full Buffer (10 g/L KI, 25 g/L KBr, 5.0 g/L Na2HPO4 12H2O, 1.25 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 28.770
Flowrate Correction (%)           : 1.76
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.040
Applied pump efficiency factors   : Komhyr et al, 1995
Transfer Function                 : Yes
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : Transfer function solution correction applied. https://doi.org/10.5194/amt-10-2021-2017
Comment : 
Time  Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec   hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  824.27    1.800   17.00   58.0    2.6689    0.0324    0.00 9000.00 9000.00   28.77    0.7700 9000.00000 9000.00000 9000.000
    10  822.88    1.814   16.50   60.0    2.7420    0.0333    0.04 9000.00 9000.00   28.77    0.7900 9000.00000 9000.00000 9000.000
    20  816.90    1.876   15.00   69.0    2.7795    0.0340    0.20 9000.00 9000.00   28.87    0.8000 9000.00000 9000.00000 9000.000
    30  811.50    1.933   14.40   72.0    2.7795    0.0343    0.34 9000.00 9000.00   28.87    0.8000 9000.00000 9000.00000 9000.000
    40  806.91    1.981   13.90   74.0    2.8170    0.0349    0.47 9000.00 9000.00   28.97    0.8100 9000.00000 9000.00000 9000.000
    50  801.42    2.038   13.30   77.0    2.8537    0.0356    0.62 9000.00 9000.00   28.98    0.8200 9000.00000 9000.00000 9000.000
    60  795.67    2.099   12.70   79.0    2.8537    0.0359    0.78 9000.00 9000.00   28.98    0.8200 9000.00000 9000.00000 9000.000
    70  790.03    2.159   12.10   82.0    2.8537    0.0361    0.94 9000.00 9000.00   28.98    0.8200 9000.00000 9000.00000 9000.000
    80  784.29    2.220   11.50   84.0    2.8903    0.0369    1.11 9000.00 9000.00   28.98    0.8300 9000.00000 9000.00000 9000.000
    90  778.90    2.277   11.10   85.0    2.8913    0.0371    1.26 9000.00 9000.00   29.09    0.8300 9000.00000 9000.00000 9000.000
   100  773.98    2.330   11.00   81.0    3.0011    0.0388    1.41 9000.00 9000.00   29.09    0.8600 9000.00000 9000.00000 9000.000
   110  768.98    2.385   11.80   73.0    2.9645    0.0386    1.56 9000.00 9000.00   29.09    0.8500 9000.00000 9000.00000 9000.000
   120  764.23    2.437   11.90   69.0    2.8913    0.0378    1.71 9000.00 9000.00   29.09    0.8300 9000.00000 9000.00000 9000.000
