36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA; jacquelyn.witte@nasa.gov)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 12 December, 2017
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20010627
Launch Time (UT)                  : 07:07:00
Burst Pressure (hPa)              : 6.66
Integrated O3 to end of data (DU) : 210.33
Radiosonde                        : Vaisala RS80
Radiosonde Serial Number          : 948166803
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 2Z1791
KI Solution                       : 1% Full Buffer (10 g/L KI, 25 g/L KBr, 5.0 g/L Na2HPO4 12H2O, 1.25 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 28.310
Flowrate Correction (%)           : 1.76
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.040
Applied pump efficiency factors   : Komhyr et al, 1995
Transfer Function                 : Yes
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : Transfer function solution correction applied. https://doi.org/10.5194/amt-10-2021-2017
Comment : 
Time  Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec   hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  827.69    1.800   15.50   83.0    1.5908    0.0192    0.00 9000.00 9000.00   30.27    0.4800 9000.00000 9000.00000 9000.000
    10  827.51    1.802   15.40   84.0    1.5913    0.0192    0.00 9000.00 9000.00   30.37    0.4800 9000.00000 9000.00000 9000.000
    20  827.49    1.802   15.40   84.0    1.6637    0.0201    0.00 9000.00 9000.00   30.37    0.5000 9000.00000 9000.00000 9000.000
    30  827.47    1.802   15.60   86.0    1.6637    0.0201    0.00 9000.00 9000.00   30.37    0.5000 9000.00000 9000.00000 9000.000
    40  827.45    1.803   16.00   85.0    1.6642    0.0201    0.00 9000.00 9000.00   30.47    0.5000 9000.00000 9000.00000 9000.000
    50  824.20    1.836   15.20   85.0    1.6642    0.0202    0.06 9000.00 9000.00   30.47    0.5000 9000.00000 9000.00000 9000.000
    60  818.82    1.891   14.30   89.0    1.6647    0.0203    0.14 9000.00 9000.00   30.57    0.5000 9000.00000 9000.00000 9000.000
    70  813.84    1.943   13.60   92.0    1.7371    0.0213    0.22 9000.00 9000.00   30.57    0.5200 9000.00000 9000.00000 9000.000
    80  808.78    1.996   13.10   95.0    1.7371    0.0215    0.31 9000.00 9000.00   30.57    0.5200 9000.00000 9000.00000 9000.000
    90  803.83    2.047   12.70   95.0    1.8096    0.0225    0.39 9000.00 9000.00   30.58    0.5400 9000.00000 9000.00000 9000.000
   100  798.47    2.104   12.50   93.0    1.9182    0.0240    0.49 9000.00 9000.00   30.58    0.5700 9000.00000 9000.00000 9000.000
   110  793.96    2.151   12.20   93.0    1.9905    0.0251    0.58 9000.00 9000.00   30.58    0.5900 9000.00000 9000.00000 9000.000
   120  789.95    2.194   12.00   94.0    2.0628    0.0261    0.66 9000.00 9000.00   30.58    0.6100 9000.00000 9000.00000 9000.000
