36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA; jacquelyn.witte@nasa.gov)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 12 December, 2017
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20010503
Launch Time (UT)                  : 07:43:00
Burst Pressure (hPa)              : 7.22
Integrated O3 to end of data (DU) : 220.01
Radiosonde                        : Vaisala RS80
Radiosonde Serial Number          : 948166808
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 2Z1796
KI Solution                       : 1% Full Buffer (10 g/L KI, 25 g/L KBr, 5.0 g/L Na2HPO4 12H2O, 1.25 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 28.930
Flowrate Correction (%)           : 1.76
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al, 1995
Transfer Function                 : Yes
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : Transfer function solution correction applied. https://doi.org/10.5194/amt-10-2021-2017
Comment : 
Time  Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec   hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  823.53    1.800   19.80   72.0    1.5966    0.0194    0.00 9000.00 9000.00   31.77    0.4800 9000.00000 9000.00000 9000.000
    10  823.72    1.798   19.60   76.0    1.5971    0.0194   -0.00 9000.00 9000.00   31.87    0.4800 9000.00000 9000.00000 9000.000
    20  822.38    1.812   19.40   79.0    1.6714    0.0203    0.02 9000.00 9000.00   31.87    0.5000 9000.00000 9000.00000 9000.000
    30  816.31    1.876   17.90   83.0    1.6718    0.0205    0.12 9000.00 9000.00   31.97    0.5000 9000.00000 9000.00000 9000.000
    40  810.81    1.934   16.90   84.0    1.7090    0.0211    0.21 9000.00 9000.00   31.97    0.5100 9000.00000 9000.00000 9000.000
    50  805.42    1.991   16.30   86.0    1.7462    0.0217    0.30 9000.00 9000.00   31.98    0.5200 9000.00000 9000.00000 9000.000
    60  800.51    2.043   15.80   87.0    1.8211    0.0227    0.38 9000.00 9000.00   32.08    0.5400 9000.00000 9000.00000 9000.000
    70  795.36    2.098   15.40   86.0    1.8583    0.0234    0.48 9000.00 9000.00   32.08    0.5500 9000.00000 9000.00000 9000.000
    80  791.53    2.139   15.10   87.0    1.8961    0.0240    0.55 9000.00 9000.00   32.18    0.5600 9000.00000 9000.00000 9000.000
    90  786.81    2.190   14.70   89.0    1.9705    0.0250    0.64 9000.00 9000.00   32.18    0.5800 9000.00000 9000.00000 9000.000
   100  781.92    2.243   14.20   91.0    1.9705    0.0252    0.74 9000.00 9000.00   32.19    0.5800 9000.00000 9000.00000 9000.000
   110  777.36    2.292   13.90   91.0    1.9712    0.0254    0.83 9000.00 9000.00   32.29    0.5800 9000.00000 9000.00000 9000.000
   120  772.36    2.347   13.70   91.0    2.0083    0.0260    0.93 9000.00 9000.00   32.29    0.5900 9000.00000 9000.00000 9000.000
   130  767.59    2.399   13.50   90.0    2.0456    0.0266    1.03 9000.00 9000.00   32.29    0.6000 9000.00000 9000.00000 9000.000
   140  762.79    2.452   13.10   90.0    2.1206    0.0278    1.13 9000.00 9000.00   32.39    0.6200 9000.00000 9000.00000 9000.000
   150  757.55    2.510   12.90   90.0    2.1579    0.0285    1.25 9000.00 9000.00   32.40    0.6300 9000.00000 9000.00000 9000.000
   160  752.57    2.566   12.80   88.0    2.1579    0.0287    1.36 9000.00 9000.00   32.40    0.6300 9000.00000 9000.00000 9000.000
   170  748.02    2.617   12.70   86.0    2.2323    0.0298    1.47 9000.00 9000.00   32.40    0.6500 9000.00000 9000.00000 9000.000
   180  742.90    2.675   12.70   84.0    2.2703    0.0306    1.59 9000.00 9000.00   32.50    0.6600 9000.00000 9000.00000 9000.000
   190  738.61    2.723   12.50   84.0    2.3448    0.0317    1.69 9000.00 9000.00   32.51    0.6800 9000.00000 9000.00000 9000.000
   200  734.58    2.769   12.30   84.0    2.3448    0.0319    1.79 9000.00 9000.00   32.51    0.6800 9000.00000 9000.00000 9000.000
   210  729.44    2.828   12.00   84.0    2.2703    0.0311    1.92 9000.00 9000.00   32.51    0.6600 9000.00000 9000.00000 9000.000
   220  725.36    2.875   11.70   83.0    2.3083    0.0318    2.02 9000.00 9000.00   32.61    0.6700 9000.00000 9000.00000 9000.000
   230  721.40    2.921   11.60   80.0    2.3083    0.0320    2.12 9000.00 9000.00   32.61    0.6700 9000.00000 9000.00000 9000.000
   240  717.28    2.969   11.50   77.0    2.3457    0.0327    2.23 9000.00 9000.00   32.62    0.6800 9000.00000 9000.00000 9000.000
   250  712.79    3.022   11.20   78.0    2.4201    0.0340    2.35 9000.00 9000.00   32.62    0.7000 9000.00000 9000.00000 9000.000
