36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA; jacquelyn.witte@nasa.gov)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 12 December, 2017
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20010606
Launch Time (UT)                  : 07:18:00
Burst Pressure (hPa)              : 6.10
Integrated O3 to end of data (DU) : 224.17
Radiosonde                        : Vaisala RS80
Radiosonde Serial Number          : 948166800
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 2Z1789
KI Solution                       : 1% Full Buffer (10 g/L KI, 25 g/L KBr, 5.0 g/L Na2HPO4 12H2O, 1.25 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 29.440
Flowrate Correction (%)           : 1.76
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.050
Applied pump efficiency factors   : Komhyr et al, 1995
Transfer Function                 : Yes
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : Transfer function solution correction applied. https://doi.org/10.5194/amt-10-2021-2017
Comment : 
Time  Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec   hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  824.33    1.800   15.80   89.0    1.0572    0.0128    0.00 9000.00 9000.00   31.57    0.3300 9000.00000 9000.00000 9000.000
    10  824.36    1.800   15.80   89.0    1.0572    0.0128   -0.00 9000.00 9000.00   31.57    0.3300 9000.00000 9000.00000 9000.000
    20  824.28    1.801   15.90   90.0    1.0198    0.0124    0.00 9000.00 9000.00   31.67    0.3200 9000.00000 9000.00000 9000.000
    30  823.70    1.806   15.60   90.0    1.0954    0.0133    0.01 9000.00 9000.00   31.67    0.3400 9000.00000 9000.00000 9000.000
    40  819.42    1.851   14.70   93.0    1.1335    0.0138    0.05 9000.00 9000.00   31.77    0.3500 9000.00000 9000.00000 9000.000
    50  815.18    1.895   14.30   95.0    1.2468    0.0153    0.10 9000.00 9000.00   31.77    0.3800 9000.00000 9000.00000 9000.000
    60  810.19    1.947   13.90   97.0    1.3224    0.0163    0.16 9000.00 9000.00   31.77    0.4000 9000.00000 9000.00000 9000.000
    70  805.18    1.999   13.60   98.0    1.3985    0.0174    0.23 9000.00 9000.00   31.88    0.4200 9000.00000 9000.00000 9000.000
    80  799.98    2.054   13.30   98.0    1.4363    0.0180    0.30 9000.00 9000.00   31.88    0.4300 9000.00000 9000.00000 9000.000
    90  794.01    2.117   13.00   99.0    1.4363    0.0181    0.39 9000.00 9000.00   31.88    0.4300 9000.00000 9000.00000 9000.000
   100  789.38    2.167   12.80   99.0    1.4741    0.0187    0.45 9000.00 9000.00   31.88    0.4400 9000.00000 9000.00000 9000.000
   110  785.01    2.213   12.50   99.0    1.5119    0.0193    0.52 9000.00 9000.00   31.88    0.4500 9000.00000 9000.00000 9000.000
   120  780.52    2.262   12.20   99.0    1.5502    0.0199    0.59 9000.00 9000.00   31.99    0.4600 9000.00000 9000.00000 9000.000
