36
NASA/GSFC/SHADOZ Archive          : https://tropo.gsfc.nasa.gov/shadoz
SHADOZ Principal Investigator     : Anne M. Thompson (NASA/Goddard Space Flight Center, USA; anne.m.thompson@nasa.gov)
SHADOZ Archive Curator            : Jacquelyn C Witte (SSAI affiliated with NASA/GSFC, USA; jacquelyn.witte@nasa.gov)
SHADOZ Version                    : 06
Reprocessed                       : Yes
SHADOZ format data created        : 12 December, 2017
STATION                           : Nairobi, Kenya
Station Principal Investigator(s) : Christian Felix (MeteoSwiss, Switzerland)
Latitude (deg)                    : -1.30
Longitude (deg)                   : 36.80
Elevation (m)                     : 1795.00
Launch Date                       : 20050914
Launch Time (UT)                  : 08:30:00
Burst Pressure (hPa)              : 5.09
Integrated O3 to end of data (DU) : 238.81
Radiosonde                        : Vaisala RS80
Radiosonde Serial Number          : 412511511
Geom. Press. Offset Correction    : No
Pressure sensor offset (hPa)      : 0.000
Ozonesonde Instrument             : 2Z3981
KI Solution                       : 1% Full Buffer (10 g/L KI, 25 g/L KBr, 5.0 g/L Na2HPO4 12H2O, 1.25 g/L NaH2PO4 H2O)
Cathode Soln Volume (cc)          : 3.0
Cathode Soln Volume Correction    : No
Pump flowrate (sec/100ml)         : 28.900
Flowrate Correction (%)           : 1.76
Pump Temperature Correction       : Yes
Applied background current (uA)   : 0.040
Applied pump efficiency factors   : Komhyr et al, 1995
Transfer Function                 : Yes
Missing or bad values             : 9000
Comment : Reprocessing reference: Witte et al. [https://doi.org/10.1002/2016JD026403]
Comment : Transfer function solution correction applied. https://doi.org/10.5194/amt-10-2021-2017
Comment : 
Time  Press    GeopAlt   Temp    RH     O3_mPa    O3_ppmv  O3_DU  Wind_Dir Wind_Spd  TPump  O3CellI  GPS_Lon    GPS_Lat   GPS_Alt
sec   hPa      km        C       %      mPa       ppmv     DU     deg      m/s       C      uA       deg        deg       km     
     0  823.54    1.800   18.60   48.0    3.0354    0.0369    0.00 9000.00 9000.00   31.17    0.8600 9000.00000 9000.00000 9000.000
    10  821.44    1.822   17.90   49.0    3.1475    0.0383    0.06 9000.00 9000.00   31.27    0.8900 9000.00000 9000.00000 9000.000
    20  815.30    1.886   16.50   54.0    3.1475    0.0386    0.25 9000.00 9000.00   31.27    0.8900 9000.00000 9000.00000 9000.000
    30  808.42    1.958   15.80   57.0    3.1485    0.0389    0.46 9000.00 9000.00   31.37    0.8900 9000.00000 9000.00000 9000.000
    40  802.32    2.022   15.10   59.0    3.1497    0.0393    0.65 9000.00 9000.00   31.48    0.8900 9000.00000 9000.00000 9000.000
    50  796.83    2.080   14.30   61.0    3.1497    0.0395    0.82 9000.00 9000.00   31.48    0.8900 9000.00000 9000.00000 9000.000
    60  791.82    2.134   13.90   64.0    3.1507    0.0398    0.98 9000.00 9000.00   31.58    0.8900 9000.00000 9000.00000 9000.000
    70  786.90    2.186   13.40   65.0    3.1146    0.0396    1.13 9000.00 9000.00   31.68    0.8800 9000.00000 9000.00000 9000.000
    80  782.25    2.236   13.00   67.0    3.1147    0.0398    1.28 9000.00 9000.00   31.69    0.8800 9000.00000 9000.00000 9000.000
    90  777.40    2.289   12.50   68.0    3.0416    0.0391    1.43 9000.00 9000.00   31.79    0.8600 9000.00000 9000.00000 9000.000
   100  774.10    2.324   12.00   71.0    3.0787    0.0398    1.53 9000.00 9000.00   31.79    0.8700 9000.00000 9000.00000 9000.000
   110  769.85    2.370   11.60   72.0    3.0426    0.0395    1.66 9000.00 9000.00   31.89    0.8600 9000.00000 9000.00000 9000.000
   120  765.00    2.423   11.60   70.0    3.0055    0.0393    1.81 9000.00 9000.00   31.89    0.8500 9000.00000 9000.00000 9000.000
   130  759.77    2.481   11.60   69.0    3.0437    0.0401    1.98 9000.00 9000.00   32.00    0.8600 9000.00000 9000.00000 9000.000
   140  755.35    2.530   11.20   70.0    3.0065    0.0398    2.12 9000.00 9000.00   32.00    0.8500 9000.00000 9000.00000 9000.000
   150  751.43    2.573   10.90   71.0    2.9704    0.0395    2.24 9000.00 9000.00   32.10    0.8400 9000.00000 9000.00000 9000.000
   160  747.43    2.618   10.50   72.0    2.9342    0.0393    2.36 9000.00 9000.00   32.20    0.8300 9000.00000 9000.00000 9000.000
   170  742.90    2.668   10.30   73.0    2.9714    0.0400    2.51 9000.00 9000.00   32.20    0.8400 9000.00000 9000.00000 9000.000
   180  738.07    2.723   10.70   73.0    2.9724    0.0403    2.66 9000.00 9000.00   32.31    0.8400 9000.00000 9000.00000 9000.000
   190  734.24    2.766   10.90   71.0    3.0468    0.0415    2.78 9000.00 9000.00   32.31    0.8600 9000.00000 9000.00000 9000.000
   200  730.00    2.815   10.60   71.0    3.0478    0.0418    2.92 9000.00 9000.00   32.41    0.8600 9000.00000 9000.00000 9000.000
   210  725.84    2.862   11.00   68.0    3.1593    0.0435    3.06 9000.00 9000.00   32.41    0.8900 9000.00000 9000.00000 9000.000
   220  721.78    2.909   11.40   63.0    3.3090    0.0458    3.20 9000.00 9000.00   32.51    0.9300 9000.00000 9000.00000 9000.000
   230  718.28    2.950   11.40   59.0    3.4950    0.0487    3.34 9000.00 9000.00   32.51    0.9800 9000.00000 9000.00000 9000.000
   240  713.44    3.006   11.30   55.0    3.6822    0.0516    3.53 9000.00 9000.00   32.62    1.0300 9000.00000 9000.00000 9000.000
   250  707.93    3.071   10.80   55.0    3.7566    0.0531    3.75 9000.00 9000.00   32.62    1.0500 9000.00000 9000.00000 9000.000
   260  703.88    3.119   10.40   56.0    3.8310    0.0544    3.93 9000.00 9000.00   32.62    1.0700 9000.00000 9000.00000 9000.000
   270  699.70    3.168   10.00   57.0    3.9066    0.0558    4.11 9000.00 9000.00   32.72    1.0900 9000.00000 9000.00000 9000.000
   280  695.27    3.221    9.50   58.0    3.9067    0.0562    4.30 9000.00 9000.00   32.73    1.0900 9000.00000 9000.00000 9000.000
   290  690.88    3.274    9.20   58.0    3.9080    0.0566    4.50 9000.00 9000.00   32.83    1.0900 9000.00000 9000.00000 9000.000
